session,source,encounter_index,first_inside,final_inside,status,accepted_index,first_raw_row,final_raw_row
mint-only-horizontal-run01,mint,0,25,26,unclean_same_source,-1,83,84
mint-only-horizontal-run01,mint,1,35,35,unclean_same_source,-1,93,93
mint-only-horizontal-run01,mint,2,47,47,accepted,0,105,105
mint-only-horizontal-run01,mint,3,99,99,accepted,1,157,157
mint-only-horizontal-run01,mint,4,112,113,accepted,2,170,171
mint-only-horizontal-run01,mint,5,127,127,accepted,3,185,185
mint-only-horizontal-run01,mint,6,141,143,unclean_same_source,-1,199,201
mint-only-horizontal-run01,mint,7,149,149,unclean_same_source,-1,207,207
mint-only-horizontal-run01,mint,8,164,175,unclean_same_source,-1,222,233
mint-only-horizontal-run01,mint,9,182,182,unclean_same_source,-1,240,240
mint-only-horizontal-run01,mint,10,203,203,accepted,4,261,261
mint-only-horizontal-run01,mint,11,217,217,accepted,5,275,275
mint-only-horizontal-run01,mint,12,229,229,accepted,6,287,287
mint-only-horizontal-run01,mint,13,254,254,ineligible_row,-1,312,312
mint-only-horizontal-run01,mint,14,314,314,accepted,7,372,372
mint-only-horizontal-run01,mint,15,343,352,accepted,8,401,410
mint-only-horizontal-run01,mint,16,387,387,unclean_same_source,-1,445,445
mint-only-horizontal-run01,mint,17,395,395,unclean_same_source,-1,453,453
mint-only-horizontal-run01,mint,18,402,403,unclean_same_source,-1,460,461
mint-only-horizontal-run01,mint,19,431,431,accepted,9,489,489
mint-only-horizontal-run01,mint,20,445,445,accepted,10,503,503
mint-only-horizontal-run01,mint,21,460,460,unclean_same_source,-1,518,518
mint-only-horizontal-run01,mint,22,467,467,unclean_same_source,-1,525,525
mint-only-horizontal-run01,mint,23,479,479,accepted,11,537,537
mint-only-horizontal-run01,mint,24,502,502,unclean_same_source,-1,560,560
mint-only-horizontal-run01,mint,25,510,510,unclean_same_source,-1,568,568
mint-only-horizontal-run01,mint,26,526,526,accepted,12,584,584
mint-only-horizontal-run01,mint,27,536,536,unclean_same_source,-1,594,594
mint-only-horizontal-run01,mint,28,542,542,unclean_same_source,-1,600,600
