session,channel,train_rows,validation_rows,robust_standardized_median_shift,normalized_wasserstein
mint-only-horizontal-run01,S1,482,120,-0.10077896249714192,0.2768864681733173
mint-only-horizontal-run01,S2,482,120,-0.1369784959161361,0.25188832695543706
mint-only-horizontal-run01,S3,482,120,0.27494011087150144,0.4246398850403438
mint-only-horizontal-run01,S4,482,120,-0.1368443581230825,0.24306830676508953
mint-only-horizontal-run01,S5,482,120,-0.18033453281170736,0.29434989766850805
mint-only-horizontal-run01,S6,482,120,0.1601881266914728,0.465980379275856
mint-only-horizontal-run01,S7,482,120,0.057497572938988446,0.11454342948364159
mint-only-horizontal-run01,S8,482,120,-0.2360971912079811,0.40235127348008565
mint-only-horizontal-run01,S9,482,120,-0.1764716353159515,0.271286170292639
mint-only-horizontal-run01,S10,482,120,-0.3588357787389132,0.3864964302167569
mint-only-horizontal-run01,S11,482,120,-0.11831536802973425,0.39617043007955977
mint-only-horizontal-run01,S12,482,120,-0.12239740263141285,0.24943099965494844
mint-only-horizontal-run01,S13,482,120,-0.14034636785305102,0.2529621696513384
mint-only-horizontal-run01,S14,482,120,-0.15174737776282896,0.2314737187364861
mint-only-horizontal-run01,S15,482,120,-0.3187801473240072,0.3243418567129511
mint-only-horizontal-run01,S16,482,120,-0.16524287409681618,0.23250883098443081
mint-only-horizontal-run01,S17,482,120,-0.05961387787765659,0.22782079239951442
mint-only-horizontal-run01,S18,482,120,-0.13904249251721842,0.26656812818780795
mint-only-horizontal-run01,S19,482,120,-0.21600376557574713,0.2040760535315875
mint-only-horizontal-run01,S20,482,120,-0.14039954150360487,0.23806344811580016
mint-only-horizontal-run01,S21,482,120,-0.15418824686884278,0.2610004871188007
mint-only-horizontal-run01,S22,482,120,-0.1361138861742671,0.21773049222980945
mint-only-horizontal-run01,S23,482,120,-0.2445170070606731,0.26876163966186767
mint-only-horizontal-run01,S24,482,120,-0.19481328706681458,0.34744307957335796
mint-only-horizontal-run01,S25,482,120,-0.108516630908207,0.26998430903540566
mint-only-horizontal-run01,S26,482,120,-0.14107249445895365,0.24564335639603765
mint-only-horizontal-run01,S27,482,120,-0.05229405401840431,0.1672396977145482
mint-only-horizontal-run01,S28,482,120,-0.2379212078245985,0.34976594403980527
mint-only-horizontal-run01,S29,482,120,-0.14116100150236277,0.25675212788366786
mint-only-horizontal-run01,S30,482,120,-0.2557121097709161,0.4429969286123588
mint-only-horizontal-run01,S31,482,120,0.026342509225698085,0.1284924753881099
mint-only-horizontal-run01,S32,482,120,-0.1765579535279352,0.2837252275074025
caret-mint-left-lavender-right-run01,S1,535,134,0.5509226945108117,0.507669341303643
caret-mint-left-lavender-right-run01,S2,535,134,0.556915588773064,0.5504293033123726
caret-mint-left-lavender-right-run01,S3,535,134,-0.5695757887434243,0.49675422591435114
caret-mint-left-lavender-right-run01,S4,535,134,0.5866859827221639,0.6556416869781592
caret-mint-left-lavender-right-run01,S5,535,134,0.49141689534158645,0.719300827949342
caret-mint-left-lavender-right-run01,S6,535,134,1.4869455379370395,1.5365183453882851
caret-mint-left-lavender-right-run01,S7,535,134,-0.18658037782113482,0.17344813529249295
caret-mint-left-lavender-right-run01,S8,535,134,0.5003393278986636,0.7660133962755813
caret-mint-left-lavender-right-run01,S9,535,134,0.5546192747877733,0.595543300809764
caret-mint-left-lavender-right-run01,S10,535,134,0.5575511850781762,0.8263687930878726
caret-mint-left-lavender-right-run01,S11,535,134,-0.2821925526183312,0.28652177041259
caret-mint-left-lavender-right-run01,S12,535,134,0.5735870111292044,0.7941050445697827
caret-mint-left-lavender-right-run01,S13,535,134,0.513255238341885,0.7139332220492715
caret-mint-left-lavender-right-run01,S14,535,134,0.5393815833220275,0.7157721851808622
caret-mint-left-lavender-right-run01,S15,535,134,-0.18263690806202712,0.10498000218036692
caret-mint-left-lavender-right-run01,S16,535,134,0.5429724087725533,0.7412976430663205
caret-mint-left-lavender-right-run01,S17,535,134,0.6035967502332849,0.7625905539347662
caret-mint-left-lavender-right-run01,S18,535,134,0.583512062557743,0.8408346405843096
caret-mint-left-lavender-right-run01,S19,535,134,-0.4525471750119929,0.28494074461361424
caret-mint-left-lavender-right-run01,S20,535,134,0.6478861556139482,0.7698949727186575
caret-mint-left-lavender-right-run01,S21,535,134,0.5799975720987761,0.7650332655816605
caret-mint-left-lavender-right-run01,S22,535,134,0.6328125158067642,0.7020642834676443
caret-mint-left-lavender-right-run01,S23,535,134,-0.23141682958943463,0.2025588407898848
caret-mint-left-lavender-right-run01,S24,535,134,0.5844444651437452,0.5316251462859157
caret-mint-left-lavender-right-run01,S25,535,134,0.38426212628573525,0.5976700192892141
caret-mint-left-lavender-right-run01,S26,535,134,0.663026192861444,0.7467431850747729
caret-mint-left-lavender-right-run01,S27,535,134,-0.31569914714390634,0.3072646020924868
caret-mint-left-lavender-right-run01,S28,535,134,0.5786125419534794,0.8600476843908684
caret-mint-left-lavender-right-run01,S29,535,134,0.5688463279042675,0.8193556832084552
caret-mint-left-lavender-right-run01,S30,535,134,0.36771224212206277,0.6439350255172261
caret-mint-left-lavender-right-run01,S31,535,134,-0.2718754550345837,0.4407685464933881
caret-mint-left-lavender-right-run01,S32,535,134,0.5586034911270058,0.8508863320276925
caret-lavender-left-mint-right-run01,S1,527,132,0.1720272355152396,0.35678632740756705
caret-lavender-left-mint-right-run01,S2,527,132,0.19393927099838468,0.3742940403064052
caret-lavender-left-mint-right-run01,S3,527,132,0.15253429313042569,0.09945576596790798
caret-lavender-left-mint-right-run01,S4,527,132,0.20594513140901372,0.49669639154045636
caret-lavender-left-mint-right-run01,S5,527,132,0.2750786376181271,0.6756349394441633
caret-lavender-left-mint-right-run01,S6,527,132,-0.17038940024030402,1.1026689146961128
caret-lavender-left-mint-right-run01,S7,527,132,-0.17406213147783103,0.18839448577659057
caret-lavender-left-mint-right-run01,S8,527,132,0.34345683310292496,0.7089011899987545
caret-lavender-left-mint-right-run01,S9,527,132,0.21198149850331852,0.46001982406912606
caret-lavender-left-mint-right-run01,S10,527,132,0.3012880047704997,0.748153152513241
caret-lavender-left-mint-right-run01,S11,527,132,-0.13377581085700588,0.11312507695874131
caret-lavender-left-mint-right-run01,S12,527,132,0.23691646516413817,0.6257606339812302
caret-lavender-left-mint-right-run01,S13,527,132,0.1912021938894722,0.579527931549404
caret-lavender-left-mint-right-run01,S14,527,132,0.19034324986955375,0.5575694618252396
caret-lavender-left-mint-right-run01,S15,527,132,-0.14013793933859395,0.33601419320632625
caret-lavender-left-mint-right-run01,S16,527,132,0.1813042811547379,0.6073353560652344
caret-lavender-left-mint-right-run01,S17,527,132,0.13705513392341917,0.6133636968811559
caret-lavender-left-mint-right-run01,S18,527,132,0.2075995270324052,0.6650178481498571
caret-lavender-left-mint-right-run01,S19,527,132,0.0015273794372205507,0.12820241237568494
caret-lavender-left-mint-right-run01,S20,527,132,0.18650260936535326,0.5847416022418908
caret-lavender-left-mint-right-run01,S21,527,132,0.19219512218271018,0.622943416541318
caret-lavender-left-mint-right-run01,S22,527,132,0.18743919532805714,0.5318636462393266
caret-lavender-left-mint-right-run01,S23,527,132,0.011817223548781319,0.05011428806858614
caret-lavender-left-mint-right-run01,S24,527,132,0.23287855570396992,0.4473469665576105
caret-lavender-left-mint-right-run01,S25,527,132,0.2365165936259404,0.5590141131292267
caret-lavender-left-mint-right-run01,S26,527,132,0.18887500515069225,0.5401079970294504
caret-lavender-left-mint-right-run01,S27,527,132,0.05988021657285114,0.1625160623892996
caret-lavender-left-mint-right-run01,S28,527,132,0.28256753663534895,0.7504062806497609
caret-lavender-left-mint-right-run01,S29,527,132,0.226927964987028,0.6643977848858076
caret-lavender-left-mint-right-run01,S30,527,132,0.40220360831315877,0.7069566792928008
caret-lavender-left-mint-right-run01,S31,527,132,0.12571964802893892,0.079884765619774
caret-lavender-left-mint-right-run01,S32,527,132,0.25332019363548464,0.6980398127628945
lavender-only-horizontal-run01,S1,589,147,0.1263032117505428,0.2026607025017858
lavender-only-horizontal-run01,S2,589,147,0.20030441582784814,0.2112777753148028
lavender-only-horizontal-run01,S3,589,147,-17.803851081469844,10.907321231051052
lavender-only-horizontal-run01,S4,589,147,0.14409336088918678,0.24795861528983978
lavender-only-horizontal-run01,S5,589,147,0.17401522289047625,0.4233621856890313
lavender-only-horizontal-run01,S6,589,147,0.5552021241713986,0.6560018465455503
lavender-only-horizontal-run01,S7,589,147,-22.322098893907402,17.182650248458852
lavender-only-horizontal-run01,S8,589,147,0.2695381479675955,0.5296182112523427
lavender-only-horizontal-run01,S9,589,147,0.16467359094770215,0.20681410631813635
