session,source,encounter,distance_bin,distance_bin_start_cm,distance_bin_stop_cm,channel,exit_minus_entry_kohm
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S1,-0.0001119375228881836
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S2,-0.0001308917999267578
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S3,-0.0015056133270263672
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S4,-6.288290023803711e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S5,-2.4378299713134766e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S6,-6.154179573059082e-06
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S7,-0.001466512680053711
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S8,-3.4749507904052734e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S9,-1.7881393432617188e-07
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S10,-5.543231964111328e-06
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S11,-0.0012596845626831055
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S12,-1.1146068572998047e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S13,-1.2576580047607422e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S14,-1.5437602996826172e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S15,-0.0015938282012939453
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S16,-5.155801773071289e-06
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S17,-7.838010787963867e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S18,-3.2335519790649414e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S19,-0.001457810401916504
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S20,-4.26173210144043e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S21,-2.0295381546020508e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S22,-1.6510486602783203e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S23,0.0010074377059936523
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S24,-6.973743438720703e-06
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S25,-3.7550926208496094e-06
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S26,7.37309455871582e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S27,0.001454472541809082
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S28,2.0325183868408203e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S29,3.0159950256347656e-05
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S30,9.208917617797852e-06
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S31,0.0002663135528564453
mint-only-horizontal-run01,mint,0,0,0.0,1.0,S32,0.00012180209159851074
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S1,0.0487363338470459
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S2,0.042343854904174805
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S3,-0.002221822738647461
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S4,0.01724398136138916
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S5,0.0017538070678710938
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S6,9.59634780883789e-06
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S7,-0.0028934478759765625
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S8,0.0017129182815551758
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S9,0.005682945251464844
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S10,0.0001500844955444336
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S11,-0.003045320510864258
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S12,0.002238750457763672
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S13,0.0025017261505126953
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S14,0.0022211670875549316
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S15,-0.0004711151123046875
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S16,0.0006744265556335449
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S17,0.007362008094787598
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S18,0.0031572580337524414
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S19,-0.002156972885131836
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S20,0.004686236381530762
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S21,0.0015503168106079102
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S22,0.0018939375877380371
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S23,0.00010848045349121094
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S24,0.004734396934509277
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S25,0.0026816129684448242
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S26,0.012145519256591797
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S27,-0.00018668174743652344
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S28,0.005743145942687988
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S29,0.00806736946105957
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S30,0.0005584955215454102
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S31,-0.0021512508392333984
mint-only-horizontal-run01,mint,0,6,6.0,7.0,S32,0.0016818046569824219
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S1,0.0053064823150634766
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S2,0.004827141761779785
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S3,-0.001479506492614746
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S4,0.0021902918815612793
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S5,0.00027823448181152344
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S6,-1.952052116394043e-06
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S7,-0.001784682273864746
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S8,0.00030308961868286133
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S9,0.0007097721099853516
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S10,5.3048133850097656e-05
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S11,-0.001230001449584961
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S12,0.00032010674476623535
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S13,0.0003056526184082031
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S14,0.00027310848236083984
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S15,-0.0015338659286499023
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S16,8.958578109741211e-05
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S17,0.0007474422454833984
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S18,0.00036644935607910156
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S19,-0.0001577138900756836
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S20,0.0003853440284729004
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S21,0.00013843178749084473
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S22,8.559226989746094e-05
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S23,0.0013971328735351562
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S24,-1.8894672393798828e-05
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S25,2.9325485229492188e-05
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S26,0.0004086494445800781
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S27,0.00031757354736328125
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S28,0.0003616213798522949
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S29,0.00044840574264526367
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S30,2.6404857635498047e-05
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S31,0.0012458562850952148
mint-only-horizontal-run01,mint,1,0,0.0,1.0,S32,2.658367156982422e-05
mint-only-horizontal-run01,mint,1,2,2.0,3.0,S1,0.020020723342895508
