pca_fit,component,explained_variance,explained_variance_ratio
global,PC1,20.4212998430288,0.6381656200946497
global,PC2,7.834329100329347,0.24482278438529198
global,PC3,2.438059954988084,0.0761893735933776
mint-only-horizontal-run01,PC1,20.96166462405461,0.6550520195017067
mint-only-horizontal-run01,PC2,2.3785976161961244,0.0743311755061289
mint-only-horizontal-run01,PC3,1.8180645669491977,0.05681451771716244
caret-mint-left-lavender-right-run01,PC1,21.585346024753473,0.674542063273546
caret-mint-left-lavender-right-run01,PC2,2.347073319395513,0.07334604123110978
caret-mint-left-lavender-right-run01,PC3,1.7599211753304944,0.05499753672907795
caret-lavender-left-mint-right-run01,PC1,20.99980070789802,0.6562437721218127
caret-lavender-left-mint-right-run01,PC2,2.7675620976339443,0.0864863155510607
caret-lavender-left-mint-right-run01,PC3,1.7173667218182782,0.05366771005682116
lavender-only-horizontal-run01,PC1,22.21504736890915,0.6942202302784111
lavender-only-horizontal-run01,PC2,7.313863138430325,0.22855822307594773
lavender-only-horizontal-run01,PC3,1.4049548929125537,0.04390484040351731
inverted-caret-lavender-left-mint-right-run01,PC1,21.23277148712149,0.6635241089725467
inverted-caret-lavender-left-mint-right-run01,PC2,2.725741584731378,0.08517942452285558
inverted-caret-lavender-left-mint-right-run01,PC3,1.7255091678204635,0.0539221614943895
