run_id,study,architecture,temporal_mode,target,session,evaluation_scheme,held_out_session,sequence_length,seed,run_directory,reuse_canonical
leave-one-session-out_distance_caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed0,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-lavender-left-mint-right-run01,24,0,output/spatial-sequence/leave-one-session-out/runs/distance/caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed0,false
leave-one-session-out_distance_caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed1,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-lavender-left-mint-right-run01,24,1,output/spatial-sequence/leave-one-session-out/runs/distance/caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed1,false
leave-one-session-out_distance_caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed2,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-lavender-left-mint-right-run01,24,2,output/spatial-sequence/leave-one-session-out/runs/distance/caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed2,false
leave-one-session-out_distance_caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed3,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-lavender-left-mint-right-run01,24,3,output/spatial-sequence/leave-one-session-out/runs/distance/caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed3,false
leave-one-session-out_distance_caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed4,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-lavender-left-mint-right-run01,24,4,output/spatial-sequence/leave-one-session-out/runs/distance/caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed4,false
leave-one-session-out_distance_caret-mint-left-lavender-right-run01_temporal-cnn_bidirectional_seed0,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-mint-left-lavender-right-run01,24,0,output/spatial-sequence/leave-one-session-out/runs/distance/caret-mint-left-lavender-right-run01/temporal-cnn_bidirectional_seed0,false
leave-one-session-out_distance_caret-mint-left-lavender-right-run01_temporal-cnn_bidirectional_seed1,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-mint-left-lavender-right-run01,24,1,output/spatial-sequence/leave-one-session-out/runs/distance/caret-mint-left-lavender-right-run01/temporal-cnn_bidirectional_seed1,false
leave-one-session-out_distance_caret-mint-left-lavender-right-run01_temporal-cnn_bidirectional_seed2,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-mint-left-lavender-right-run01,24,2,output/spatial-sequence/leave-one-session-out/runs/distance/caret-mint-left-lavender-right-run01/temporal-cnn_bidirectional_seed2,false
leave-one-session-out_distance_caret-mint-left-lavender-right-run01_temporal-cnn_bidirectional_seed3,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-mint-left-lavender-right-run01,24,3,output/spatial-sequence/leave-one-session-out/runs/distance/caret-mint-left-lavender-right-run01/temporal-cnn_bidirectional_seed3,false
leave-one-session-out_distance_caret-mint-left-lavender-right-run01_temporal-cnn_bidirectional_seed4,leave-one-session-out,temporal-cnn,bidirectional,distance,,leave-one-session-out,caret-mint-left-lavender-right-run01,24,4,output/spatial-sequence/leave-one-session-out/runs/distance/caret-mint-left-lavender-right-run01/temporal-cnn_bidirectional_seed4,false
