run_id,architecture,temporal_mode,target,session,seed,run_directory
position_caret-lavender-left-mint-right-run01_transformer_causal_seed0,transformer,causal,position,caret-lavender-left-mint-right-run01,0,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/transformer_causal_seed0
position_caret-mint-left-lavender-right-run01_transformer_causal_seed0,transformer,causal,position,caret-mint-left-lavender-right-run01,0,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/transformer_causal_seed0
position_inverted-caret-lavender-left-mint-right-run01_transformer_causal_seed0,transformer,causal,position,inverted-caret-lavender-left-mint-right-run01,0,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/transformer_causal_seed0
position_lavender-only-horizontal-run01_transformer_causal_seed0,transformer,causal,position,lavender-only-horizontal-run01,0,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/transformer_causal_seed0
position_mint-only-horizontal-run01_transformer_causal_seed0,transformer,causal,position,mint-only-horizontal-run01,0,output/spatial-sequence/runs/position/mint-only-horizontal-run01/transformer_causal_seed0
distance_pooled_transformer_causal_seed0,transformer,causal,distance,,0,output/spatial-sequence/runs/distance/transformer_causal_seed0
area_pooled_transformer_causal_seed0,transformer,causal,area,,0,output/spatial-sequence/runs/area/transformer_causal_seed0
height_pooled_transformer_causal_seed0,transformer,causal,height,,0,output/spatial-sequence/runs/height/transformer_causal_seed0
velocity_pooled_transformer_causal_seed0,transformer,causal,velocity,,0,output/spatial-sequence/runs/velocity/transformer_causal_seed0
position_caret-lavender-left-mint-right-run01_transformer_causal_seed1,transformer,causal,position,caret-lavender-left-mint-right-run01,1,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/transformer_causal_seed1
position_caret-mint-left-lavender-right-run01_transformer_causal_seed1,transformer,causal,position,caret-mint-left-lavender-right-run01,1,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/transformer_causal_seed1
position_inverted-caret-lavender-left-mint-right-run01_transformer_causal_seed1,transformer,causal,position,inverted-caret-lavender-left-mint-right-run01,1,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/transformer_causal_seed1
position_lavender-only-horizontal-run01_transformer_causal_seed1,transformer,causal,position,lavender-only-horizontal-run01,1,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/transformer_causal_seed1
position_mint-only-horizontal-run01_transformer_causal_seed1,transformer,causal,position,mint-only-horizontal-run01,1,output/spatial-sequence/runs/position/mint-only-horizontal-run01/transformer_causal_seed1
distance_pooled_transformer_causal_seed1,transformer,causal,distance,,1,output/spatial-sequence/runs/distance/transformer_causal_seed1
area_pooled_transformer_causal_seed1,transformer,causal,area,,1,output/spatial-sequence/runs/area/transformer_causal_seed1
height_pooled_transformer_causal_seed1,transformer,causal,height,,1,output/spatial-sequence/runs/height/transformer_causal_seed1
velocity_pooled_transformer_causal_seed1,transformer,causal,velocity,,1,output/spatial-sequence/runs/velocity/transformer_causal_seed1
position_caret-lavender-left-mint-right-run01_transformer_causal_seed2,transformer,causal,position,caret-lavender-left-mint-right-run01,2,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/transformer_causal_seed2
position_caret-mint-left-lavender-right-run01_transformer_causal_seed2,transformer,causal,position,caret-mint-left-lavender-right-run01,2,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/transformer_causal_seed2
