run_id,study,architecture,temporal_mode,target,session,evaluation_scheme,held_out_session,sequence_length,seed,run_directory,reuse_canonical
sequence-length_distance_length6_temporal-cnn_bidirectional_seed0,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,6,0,output/spatial-sequence/sequence-length/runs/distance/length-6/temporal-cnn_bidirectional_seed0,false
sequence-length_distance_length6_temporal-cnn_bidirectional_seed1,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,6,1,output/spatial-sequence/sequence-length/runs/distance/length-6/temporal-cnn_bidirectional_seed1,false
sequence-length_distance_length6_temporal-cnn_bidirectional_seed2,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,6,2,output/spatial-sequence/sequence-length/runs/distance/length-6/temporal-cnn_bidirectional_seed2,false
sequence-length_distance_length6_temporal-cnn_bidirectional_seed3,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,6,3,output/spatial-sequence/sequence-length/runs/distance/length-6/temporal-cnn_bidirectional_seed3,false
sequence-length_distance_length6_temporal-cnn_bidirectional_seed4,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,6,4,output/spatial-sequence/sequence-length/runs/distance/length-6/temporal-cnn_bidirectional_seed4,false
sequence-length_distance_length12_temporal-cnn_bidirectional_seed0,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,12,0,output/spatial-sequence/sequence-length/runs/distance/length-12/temporal-cnn_bidirectional_seed0,false
sequence-length_distance_length12_temporal-cnn_bidirectional_seed1,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,12,1,output/spatial-sequence/sequence-length/runs/distance/length-12/temporal-cnn_bidirectional_seed1,false
sequence-length_distance_length12_temporal-cnn_bidirectional_seed2,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,12,2,output/spatial-sequence/sequence-length/runs/distance/length-12/temporal-cnn_bidirectional_seed2,false
sequence-length_distance_length12_temporal-cnn_bidirectional_seed3,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,12,3,output/spatial-sequence/sequence-length/runs/distance/length-12/temporal-cnn_bidirectional_seed3,false
sequence-length_distance_length12_temporal-cnn_bidirectional_seed4,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,12,4,output/spatial-sequence/sequence-length/runs/distance/length-12/temporal-cnn_bidirectional_seed4,false
sequence-length_distance_length18_temporal-cnn_bidirectional_seed0,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,18,0,output/spatial-sequence/sequence-length/runs/distance/length-18/temporal-cnn_bidirectional_seed0,false
sequence-length_distance_length18_temporal-cnn_bidirectional_seed1,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,18,1,output/spatial-sequence/sequence-length/runs/distance/length-18/temporal-cnn_bidirectional_seed1,false
sequence-length_distance_length18_temporal-cnn_bidirectional_seed2,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,18,2,output/spatial-sequence/sequence-length/runs/distance/length-18/temporal-cnn_bidirectional_seed2,false
sequence-length_distance_length18_temporal-cnn_bidirectional_seed3,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,18,3,output/spatial-sequence/sequence-length/runs/distance/length-18/temporal-cnn_bidirectional_seed3,false
sequence-length_distance_length18_temporal-cnn_bidirectional_seed4,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,18,4,output/spatial-sequence/sequence-length/runs/distance/length-18/temporal-cnn_bidirectional_seed4,false
sequence-length_distance_length24_temporal-cnn_bidirectional_seed0,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,24,0,output/spatial-sequence/runs/distance/temporal-cnn_bidirectional_seed0,true
sequence-length_distance_length24_temporal-cnn_bidirectional_seed1,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,24,1,output/spatial-sequence/runs/distance/temporal-cnn_bidirectional_seed1,true
sequence-length_distance_length24_temporal-cnn_bidirectional_seed2,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,24,2,output/spatial-sequence/runs/distance/temporal-cnn_bidirectional_seed2,true
sequence-length_distance_length24_temporal-cnn_bidirectional_seed3,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,24,3,output/spatial-sequence/runs/distance/temporal-cnn_bidirectional_seed3,true
sequence-length_distance_length24_temporal-cnn_bidirectional_seed4,sequence-length,temporal-cnn,bidirectional,distance,,within-session,,24,4,output/spatial-sequence/runs/distance/temporal-cnn_bidirectional_seed4,true
sequence-length_area_length6_temporal-cnn_bidirectional_seed0,sequence-length,temporal-cnn,bidirectional,area,,within-session,,6,0,output/spatial-sequence/sequence-length/runs/area/length-6/temporal-cnn_bidirectional_seed0,false
sequence-length_area_length6_temporal-cnn_bidirectional_seed1,sequence-length,temporal-cnn,bidirectional,area,,within-session,,6,1,output/spatial-sequence/sequence-length/runs/area/length-6/temporal-cnn_bidirectional_seed1,false
sequence-length_area_length6_temporal-cnn_bidirectional_seed2,sequence-length,temporal-cnn,bidirectional,area,,within-session,,6,2,output/spatial-sequence/sequence-length/runs/area/length-6/temporal-cnn_bidirectional_seed2,false
sequence-length_area_length6_temporal-cnn_bidirectional_seed3,sequence-length,temporal-cnn,bidirectional,area,,within-session,,6,3,output/spatial-sequence/sequence-length/runs/area/length-6/temporal-cnn_bidirectional_seed3,false
sequence-length_area_length6_temporal-cnn_bidirectional_seed4,sequence-length,temporal-cnn,bidirectional,area,,within-session,,6,4,output/spatial-sequence/sequence-length/runs/area/length-6/temporal-cnn_bidirectional_seed4,false
sequence-length_area_length12_temporal-cnn_bidirectional_seed0,sequence-length,temporal-cnn,bidirectional,area,,within-session,,12,0,output/spatial-sequence/sequence-length/runs/area/length-12/temporal-cnn_bidirectional_seed0,false
sequence-length_area_length12_temporal-cnn_bidirectional_seed1,sequence-length,temporal-cnn,bidirectional,area,,within-session,,12,1,output/spatial-sequence/sequence-length/runs/area/length-12/temporal-cnn_bidirectional_seed1,false
sequence-length_area_length12_temporal-cnn_bidirectional_seed2,sequence-length,temporal-cnn,bidirectional,area,,within-session,,12,2,output/spatial-sequence/sequence-length/runs/area/length-12/temporal-cnn_bidirectional_seed2,false
sequence-length_area_length12_temporal-cnn_bidirectional_seed3,sequence-length,temporal-cnn,bidirectional,area,,within-session,,12,3,output/spatial-sequence/sequence-length/runs/area/length-12/temporal-cnn_bidirectional_seed3,false
sequence-length_area_length12_temporal-cnn_bidirectional_seed4,sequence-length,temporal-cnn,bidirectional,area,,within-session,,12,4,output/spatial-sequence/sequence-length/runs/area/length-12/temporal-cnn_bidirectional_seed4,false
sequence-length_area_length18_temporal-cnn_bidirectional_seed0,sequence-length,temporal-cnn,bidirectional,area,,within-session,,18,0,output/spatial-sequence/sequence-length/runs/area/length-18/temporal-cnn_bidirectional_seed0,false
sequence-length_area_length18_temporal-cnn_bidirectional_seed1,sequence-length,temporal-cnn,bidirectional,area,,within-session,,18,1,output/spatial-sequence/sequence-length/runs/area/length-18/temporal-cnn_bidirectional_seed1,false
sequence-length_area_length18_temporal-cnn_bidirectional_seed2,sequence-length,temporal-cnn,bidirectional,area,,within-session,,18,2,output/spatial-sequence/sequence-length/runs/area/length-18/temporal-cnn_bidirectional_seed2,false
sequence-length_area_length18_temporal-cnn_bidirectional_seed3,sequence-length,temporal-cnn,bidirectional,area,,within-session,,18,3,output/spatial-sequence/sequence-length/runs/area/length-18/temporal-cnn_bidirectional_seed3,false
sequence-length_area_length18_temporal-cnn_bidirectional_seed4,sequence-length,temporal-cnn,bidirectional,area,,within-session,,18,4,output/spatial-sequence/sequence-length/runs/area/length-18/temporal-cnn_bidirectional_seed4,false
sequence-length_area_length24_temporal-cnn_bidirectional_seed0,sequence-length,temporal-cnn,bidirectional,area,,within-session,,24,0,output/spatial-sequence/runs/area/temporal-cnn_bidirectional_seed0,true
sequence-length_area_length24_temporal-cnn_bidirectional_seed1,sequence-length,temporal-cnn,bidirectional,area,,within-session,,24,1,output/spatial-sequence/runs/area/temporal-cnn_bidirectional_seed1,true
sequence-length_area_length24_temporal-cnn_bidirectional_seed2,sequence-length,temporal-cnn,bidirectional,area,,within-session,,24,2,output/spatial-sequence/runs/area/temporal-cnn_bidirectional_seed2,true
sequence-length_area_length24_temporal-cnn_bidirectional_seed3,sequence-length,temporal-cnn,bidirectional,area,,within-session,,24,3,output/spatial-sequence/runs/area/temporal-cnn_bidirectional_seed3,true
sequence-length_area_length24_temporal-cnn_bidirectional_seed4,sequence-length,temporal-cnn,bidirectional,area,,within-session,,24,4,output/spatial-sequence/runs/area/temporal-cnn_bidirectional_seed4,true
