"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"6/16/2026","4:0 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
3396.900000, 0, 0, 0, 36.3, 1.217651, 4095.000000, 0, 2.93685820, 3.04091452, 2.20427207, 1.35883980, 1.10256009, 0.48355291, 2.20704867, 1.20458128, 1.04885659, 1.47669930, 2.20711708, 0.89127064, 1.01178770, 0.96220623, 2.20767757, 0.64128099, 1.98584137, 0.97877447, 2.20767178, 1.00600285, 0.76805085, 0.80974683, 2.20789496, 1.17226625, 1.82594783, 1.36361825, 2.20544749, 1.15075928, 1.06708643, 0.81015317, 2.20495853, 0.71076331
3397.400000, 0, 0, 0, 36.3, 1.217651, 4095.000000, 0, 2.93690107, 3.04082603, 2.20633789, 1.35881128, 1.10256660, 0.48356426, 2.20527398, 1.20455958, 1.04884055, 1.47670150, 2.20482711, 0.89126571, 1.01179638, 0.96216227, 2.20710813, 0.64127989, 1.98568563, 0.97880546, 2.20713813, 1.00602433, 0.76807166, 0.80973281, 2.20765967, 1.17223941, 1.82587491, 1.36362583, 2.20768283, 1.15072395, 1.06701084, 0.81011652, 2.20777968, 0.71077090
3398.000000, 0, 0, 0, 36.4, 1.215820, 4095.000000, 0, 2.93675032, 3.04091452, 2.20778600, 1.35880544, 1.10261780, 0.48358246, 2.20802394, 1.20458159, 1.04884685, 1.47670700, 2.20760862, 0.89128283, 1.01179190, 0.96217584, 2.20785759, 0.64126476, 1.98565050, 0.97876350, 2.20780021, 1.00602377, 0.76808577, 0.80974461, 2.20768389, 1.17224311, 1.82580550, 1.36368060, 2.20787180, 1.15073430, 1.06704588, 0.81014358, 2.20760072, 0.71077711
3398.500000, 128, 0, 0, 36.4, 1.218872, 4095.000000, 1, 2.93697609, 3.04087660, 2.20727653, 1.35882812, 1.10255801, 0.48357189, 2.20770968, 1.20458348, 1.04884370, 1.47674733, 2.20769231, 0.89128620, 1.01181766, 0.96215955, 2.20751704, 0.64128077, 1.98574546, 0.97877529, 2.20746230, 1.00602070, 0.76807597, 0.80974461, 2.20796813, 1.17225268, 1.82587754, 1.36361447, 2.20715760, 1.15073004, 1.06707079, 0.81015096, 2.20743441, 0.71077780
3399.100000, 128, 0, 0, 36.4, 1.217041, 4095.000000, 1, 2.93694393, 3.04088775, 2.20712813, 1.35883739, 1.10275246, 0.48357346, 2.20761704, 1.20460234, 1.04891760, 1.47680268, 2.20770652, 0.89129632, 1.01190193, 0.96223500, 2.20742546, 0.64131870, 1.98615002, 0.97890392, 2.20755283, 1.00607872, 0.76809726, 0.80978372, 2.20764336, 1.17220640, 1.82585294, 1.36335168, 2.20749967, 1.15061672, 1.06684257, 0.81010619, 2.20755020, 0.71065840
3399.600000, 128, 0, 0, 36.4, 1.218262, 4095.000000, 1, 2.93432458, 3.03854044, 2.20769494, 1.35770416, 1.10235382, 0.48363510, 2.20562575, 1.20424767, 1.04832248, 1.47670260, 2.20490228, 0.89105717, 1.01163738, 0.96194978, 2.20482028, 0.64119964, 1.98535189, 0.97851122, 2.20668194, 1.00560344, 0.76791763, 0.80951345, 2.20705446, 1.17161630, 1.82543522, 1.36203766, 2.20760914, 1.14975037, 1.06641228, 0.80999352, 2.20743915, 0.71045871
3400.200000, 128, 0, 0, 36.3, 1.218262, 4095.000000, 1, 2.93255866, 3.03696138, 2.20718970, 1.35679295, 1.10173578, 0.48340616, 2.20561734, 1.20398548, 1.04793111, 1.47649660, 2.20709445, 0.89086318, 1.01143640, 0.96171019, 2.20743651, 0.64111699, 1.98485825, 0.97835082, 2.20523560, 1.00534327, 0.76782985, 0.80940722, 2.20478716, 1.17139888, 1.82536099, 1.36140630, 2.20674665, 1.14936499, 1.06612944, 0.80995245, 2.20756335, 0.71037613
3400.700000, 128, 0, 0, 36.3, 1.218872, 4095.000000, 1, 2.93174852, 3.03632958, 2.20531552, 1.35607118, 1.10148585, 0.48327723, 2.20685398, 1.20382957, 1.04764630, 1.47651676, 2.20735441, 0.89073611, 1.01132193, 0.96160519, 2.20766178, 0.64105998, 1.98456592, 0.97820195, 2.20734810, 1.00517682, 0.76776648, 0.80935952, 2.20737178, 1.17122219, 1.82521167, 1.36094780, 2.20732547, 1.14901135, 1.06588717, 0.80993424, 2.20764809, 0.71029563
3401.300000, 128, 0, 0, 36.4, 1.218872, 4095.000000, 1, 2.93123947, 3.03585676, 2.20751020, 1.35559484, 1.10134005, 0.48318470, 2.20750388, 1.20369065, 1.04749175, 1.47651236, 2.20772231, 0.89063343, 1.01123797, 0.96156966, 2.20798077, 0.64104398, 1.98442120, 0.97806845, 2.20763809, 1.00503073, 0.76769545, 0.80927986, 2.20778863, 1.17110410, 1.82508125, 1.36068472, 2.20740388, 1.14869034, 1.06560037, 0.80990399, 2.20777337, 0.71023008
3401.900000, 128, 0, 0, 36.3, 1.217041, 4095.000000, 1, 2.93077257, 3.03530239, 2.20528817, 1.35515154, 1.10117799, 0.48310332, 2.20508313, 1.20355048, 1.04731947, 1.47639361, 2.20684872, 0.89052167, 1.01115542, 0.96144649, 2.20767704, 0.64101022, 1.98411280, 0.97792043, 2.20498587, 1.00484842, 0.76765360, 0.80923831, 2.20711287, 1.17100328, 1.82506061, 1.36026319, 2.20481765, 1.14844574, 1.06541199, 0.80985603, 2.20493383, 0.71016683
