"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"7/23/2026","2:54 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
76495.800000, 0, 0, 0, 36.3, 1.218262, 4095.000000, 0, 2.92566216, 3.03969302, 2.20689871, 1.34483707, 1.09777590, 0.48348305, 2.20753283, 1.18847497, 1.04254218, 1.49490011, 2.20756020, 0.88722205, 1.00711651, 0.95750441, 2.20738546, 0.63860059, 1.97874822, 0.97454933, 2.20779179, 1.00144297, 0.76515678, 0.80962583, 2.20790075, 1.17260444, 1.81528921, 1.35411898, 2.20791286, 1.13452703, 1.05615452, 0.80632967, 2.20800867, 0.70784535
76496.400000, 0, 0, 0, 36.3, 1.217651, 4095.000000, 0, 2.92566429, 3.03956518, 2.20758125, 1.34482718, 1.09778505, 0.48347875, 2.20505842, 1.18847279, 1.04251736, 1.49494379, 2.20689608, 0.88723137, 1.00710730, 0.95751686, 2.20769652, 0.63861153, 1.97877851, 0.97456219, 2.20540175, 1.00145632, 0.76516179, 0.80963444, 2.20493015, 1.17259426, 1.81522148, 1.35405115, 2.20725600, 1.13450862, 1.05616631, 0.80634931, 2.20780811, 0.70786510
76496.900000, 0, 0, 0, 36.3, 1.215820, 4095.000000, 0, 2.92561521, 3.03951612, 2.20761230, 1.34480196, 1.09784201, 0.48346192, 2.20790286, 1.18846562, 1.04247143, 1.49491084, 2.20730389, 0.88721843, 1.00709613, 0.95752687, 2.20716602, 0.63860475, 1.97885612, 0.97454277, 2.20776337, 1.00146439, 0.76514269, 0.80963640, 2.20758230, 1.17257142, 1.81530713, 1.35409089, 2.20722285, 1.13450410, 1.05612373, 0.80636820, 2.20484604, 0.70785752
76497.500000, 0, 0, 0, 36.2, 1.218262, 4095.000000, 0, 2.92569559, 3.03953842, 2.20478401, 1.34488921, 1.09785174, 0.48344920, 2.20702709, 1.18842949, 1.04252621, 1.49496193, 2.20533129, 0.88727716, 1.00710757, 0.95752200, 2.20714286, 0.63860344, 1.97881163, 0.97457395, 2.20719443, 1.00146828, 0.76514723, 0.80964280, 2.20775021, 1.17262080, 1.81531281, 1.35419264, 2.20813133, 1.13454815, 1.05614301, 0.80636648, 2.20928300, 0.70784857
76498.000000, 128, 0, 0, 36.2, 1.217651, 4095.000000, 1, 2.92569773, 3.03967518, 2.20594813, 1.34486910, 1.09780423, 0.48346036, 2.20571831, 1.18853509, 1.04251936, 1.49490677, 2.20524033, 0.88725750, 1.00708692, 0.95751876, 2.20558947, 0.63861241, 1.97877662, 0.97454222, 2.20516988, 1.00144770, 0.76515009, 0.80963198, 2.20696606, 1.17256988, 1.81534777, 1.35420874, 2.20708235, 1.13456504, 1.05619998, 0.80635667, 2.20698763, 0.70788117
76498.600000, 128, 0, 0, 36.2, 1.219482, 4095.000000, 1, 2.92569986, 3.03969599, 2.20401983, 1.34490660, 1.09801111, 0.48350243, 2.20560472, 1.18856281, 1.04251793, 1.49499969, 2.20381700, 0.88727742, 1.00712153, 0.95755637, 2.20411231, 0.63862269, 1.97889114, 0.97457887, 2.20710024, 1.00148553, 0.76517946, 0.80964501, 2.20774810, 1.17257389, 1.81532504, 1.35408746, 2.20721075, 1.13454000, 1.05616142, 0.80635397, 2.20540543, 0.70782790
76499.100000, 128, 0, 0, 36.2, 1.215820, 4095.000000, 1, 2.92488549, 3.03896990, 2.20684083, 1.34459919, 1.09778033, 0.48347053, 2.20712813, 1.18842232, 1.04238641, 1.49493713, 2.20757178, 0.88716488, 1.00705119, 0.95749467, 2.20723811, 0.63857455, 1.97875295, 0.97455808, 2.20524979, 1.00140375, 0.76513362, 0.80960173, 2.20480714, 1.17249798, 1.81530582, 1.35398537, 2.20713128, 1.13448720, 1.05609122, 0.80632158, 2.20523665, 0.70782124
76499.700000, 128, 0, 0, 36.2, 1.218262, 4095.000000, 1, 2.92468851, 3.03886439, 2.20470779, 1.34451945, 1.09776558, 0.48345331, 2.20730284, 1.18839149, 1.04234076, 1.49490418, 2.20778021, 0.88715065, 1.00698308, 0.95743947, 2.20507682, 0.63857652, 1.97861478, 0.97450748, 2.20467888, 1.00141543, 0.76512407, 0.80960665, 2.20706551, 1.17245046, 1.81527610, 1.35403710, 2.20515936, 1.13449595, 1.05610589, 0.80635544, 2.20719548, 0.70781114
76500.300000, 128, 0, 0, 36.2, 1.218872, 4095.000000, 1, 2.92485846, 3.03872321, 2.20496326, 1.34447072, 1.09779627, 0.48345136, 2.20735389, 1.18845877, 1.04230196, 1.49496119, 2.20731442, 0.88713823, 1.00701323, 0.95743325, 2.20770389, 0.63857717, 1.97864696, 0.97447767, 2.20752862, 1.00139429, 0.76511166, 0.80957689, 2.20745072, 1.17243565, 1.81528003, 1.35392576, 2.20725863, 1.13446458, 1.05605238, 0.80633630, 2.20719548, 0.70777968
76500.800000, 128, 0, 0, 36.2, 1.217651, 4095.000000, 1, 2.92458114, 3.03888668, 2.20740757, 1.34437327, 1.09772633, 0.48345742, 2.20776284, 1.18835754, 1.04228142, 1.49492565, 2.20525978, 0.88711132, 1.00697164, 0.95740727, 2.20668667, 0.63855813, 1.97856084, 0.97448232, 2.20755651, 1.00138011, 0.76511691, 0.80960320, 2.20790707, 1.17239677, 1.81523896, 1.35395728, 2.20769757, 1.13444105, 1.05602563, 0.80632109, 2.20765809, 0.70778496
76501.400000, 128, 0, 0, 36.2, 1.218262, 4095.000000, 1, 2.92459110, 3.03885919, 2.20748967, 1.34435828, 1.09768472, 0.48347229, 2.20779600, 1.18836127, 1.04223863, 1.49492417, 2.20746072, 0.88709761, 1.00696494, 0.95740051, 2.20721969, 0.63856754, 1.97861241, 0.97444813, 2.20766441, 1.00136203, 0.76512025, 0.80958820, 2.20769915, 1.17246280, 1.81528178, 1.35384834, 2.20767073, 1.13439369, 1.05600232, 0.80632943, 2.20772968, 0.70778657
76501.900000, 128, 0, 0, 36.2, 1.217651, 4095.000000, 1, 2.92455412, 3.03875739, 2.20729231, 1.34433170, 1.09763220, 0.48345175, 2.20772652, 1.18835878, 1.04224919, 1.49488419, 2.20752072, 0.88709916, 1.00696634, 0.95740727, 2.20753388, 0.63855967, 1.97853481, 0.97446181, 2.20761493, 1.00137538, 0.76511548, 0.80956017, 2.20561208, 1.17242917, 1.81524901, 1.35381238, 2.20453065, 1.13439067, 1.05601843, 0.80631029, 2.20703288, 0.70778175
76502.500000, 128, 0, 0, 36.2, 1.218262, 4095.000000, 1, 2.92426403, 3.03851295, 2.20735073, 1.34424448, 1.09765669, 0.48342533, 2.20541542, 1.18838463, 1.04222351, 1.49488086, 2.20722864, 0.88710537, 1.00696355, 0.95740105, 2.20770336, 0.63854807, 1.97860200, 0.97442379, 2.20755125, 1.00135869, 0.76510999, 0.80958033, 2.20775179, 1.17246712, 1.81530669, 1.35385417, 2.20524822, 1.13435688, 1.05596492, 0.80632305, 2.20709340, 0.70776935
76503.000000, 128, 0, 0, 36.2, 1.219482, 4095.000000, 1, 2.92463803, 3.03852409, 2.20705235, 1.34431092, 1.09765256, 0.48342944, 2.20763020, 1.18839491, 1.04224120, 1.49485976, 2.20759704, 0.88704872, 1.00694177, 0.95740754, 2.20790128, 0.63854654, 1.97857598, 0.97443501, 2.20748335, 1.00134145, 0.76509853, 0.80957468, 2.20790707, 1.17244089, 1.81528834, 1.35384149, 2.20737967, 1.13433637, 1.05589703, 0.80632010, 2.20764336, 0.70779828
