"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"6/16/2026","4:13 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
4159.300000, 0, 0, 0, 35.9, 1.218872, 4095.000000, 0, 2.93307867, 3.03763567, 2.20470253, 1.35653323, 1.10160149, 0.47965930, 2.20707814, 1.20379877, 1.04622499, 1.47662269, 2.20728442, 0.89059920, 1.01141065, 0.96159896, 2.20774021, 0.64103740, 1.98484307, 0.97818304, 2.20732284, 1.00510182, 0.76774495, 0.80929756, 2.20763178, 1.17108282, 1.82578046, 1.36066856, 2.20723706, 1.14915499, 1.06530262, 0.81010742, 2.20546169, 0.71046585
4159.900000, 0, 0, 0, 35.9, 1.217651, 4095.000000, 0, 2.93310578, 3.03793871, 2.20673350, 1.35655107, 1.10153524, 0.47965813, 2.20770915, 1.20379940, 1.04624644, 1.47660546, 2.20793129, 0.89059505, 1.01141261, 0.96161740, 2.20774652, 0.64104837, 1.98491141, 0.97820470, 2.20777705, 1.00509485, 0.76775571, 0.80933002, 2.20785180, 1.17110780, 1.82579188, 1.36075075, 2.20720127, 1.14923625, 1.06529221, 0.81011750, 2.20771126, 0.71047666
4160.400000, 0, 0, 0, 35.9, 1.217651, 4095.000000, 0, 2.93298165, 3.03791048, 2.20762809, 1.35652294, 1.10165444, 0.47966164, 2.20560682, 1.20383303, 1.04622757, 1.47666998, 2.20743915, 0.89064043, 1.01141401, 0.96164969, 2.20502582, 0.64103697, 1.98489005, 0.97821566, 2.20670403, 1.00511548, 0.76776121, 0.80932731, 2.20747283, 1.17111150, 1.82592191, 1.36072839, 2.20729231, 1.14922560, 1.06537872, 0.81012759, 2.20762230, 0.71046309
4161.000000, 0, 0, 0, 35.9, 1.214600, 4095.000000, 0, 2.93290461, 3.03800482, 2.20708024, 1.35657234, 1.10165710, 0.47966535, 2.20771494, 1.20378997, 1.04626160, 1.47663406, 2.20792076, 0.89063368, 1.01142241, 0.96163965, 2.20559841, 0.64104837, 1.98483832, 0.97823458, 2.20703394, 1.00511576, 0.76776265, 0.80934501, 2.20761546, 1.17115004, 1.82597947, 1.36081574, 2.20728232, 1.14924203, 1.06537901, 0.81011627, 2.20764388, 0.71047275
4161.500000, 0, 0, 0, 35.9, 1.215210, 4095.000000, 0, 2.93309294, 3.03788374, 2.20760283, 1.35663718, 1.10164349, 0.47968720, 2.20569464, 1.20379688, 1.04625416, 1.47663919, 2.20737915, 0.89063265, 1.01146299, 0.96168957, 2.20780074, 0.64105143, 1.98490334, 0.97821621, 2.20774968, 1.00516204, 0.76776791, 0.80931772, 2.20776021, 1.17112044, 1.82588677, 1.36080233, 2.20769652, 1.14929560, 1.06542212, 0.81010693, 2.20553846, 0.71049092
4162.100000, 0, 0, 0, 35.9, 1.218872, 4095.000000, 0, 2.93329984, 3.03809544, 2.20463788, 1.35674389, 1.10162575, 0.47967120, 2.20440556, 1.20385095, 1.04635797, 1.47668244, 2.20685661, 0.89064769, 1.01141653, 0.96166515, 2.20530815, 0.64104968, 1.98500823, 0.97824253, 2.20475142, 1.00517961, 0.76778274, 0.80933739, 2.20476981, 1.17117162, 1.82583801, 1.36084910, 2.20698553, 1.14927094, 1.06547681, 0.81013497, 2.20528081, 0.71049092
4162.600000, 0, 0, 0, 35.9, 1.218262, 4095.000000, 0, 2.93331054, 3.03799293, 2.20689818, 1.35676619, 1.10167928, 0.47967491, 2.20776547, 1.20387735, 1.04628276, 1.47667071, 2.20750704, 0.89066376, 1.01144564, 0.96164915, 2.20719706, 0.64104574, 1.98497406, 0.97824472, 2.20529291, 1.00518323, 0.76779661, 0.80933002, 2.20687976, 1.17116206, 1.82590171, 1.36090000, 2.20736862, 1.14932542, 1.06545395, 0.81011873, 2.20766020, 0.71050081
4163.200000, 0, 0, 0, 35.9, 1.218262, 4095.000000, 0, 2.93345395, 3.03805904, 2.20768073, 1.35682967, 1.10171389, 0.47967666, 2.20567203, 1.20389652, 1.04631593, 1.47666411, 2.20719706, 0.89067984, 1.01146551, 0.96164345, 2.20772810, 0.64107029, 1.98501915, 0.97827652, 2.20759388, 1.00521418, 0.76781933, 0.80935632, 2.20789391, 1.17120369, 1.82595574, 1.36094574, 2.20760072, 1.14932573, 1.06548433, 0.81013177, 2.20772705, 0.71050357
4163.800000, 0, 0, 0, 35.9, 1.218262, 4095.000000, 0, 2.93341185, 3.03808356, 2.20493645, 1.35685128, 1.10168431, 0.47967335, 2.20723758, 1.20387106, 1.04635426, 1.47665055, 2.20493015, 0.89068814, 1.01144256, 0.96167628, 2.20727653, 0.64107248, 1.98495934, 0.97828228, 2.20749651, 1.00524262, 0.76778991, 0.80937772, 2.20765283, 1.17118457, 1.82585426, 1.36097738, 2.20769862, 1.14941278, 1.06559545, 0.81011898, 2.20796129, 0.71049138
4164.300000, 128, 0, 0, 35.9, 1.218872, 4095.000000, 1, 2.93337475, 3.03824921, 2.20764125, 1.35702011, 1.10174525, 0.47968076, 2.20781232, 1.20386446, 1.04633252, 1.47666485, 2.20736547, 0.89067828, 1.01148090, 0.96172918, 2.20541331, 0.64107928, 1.98507420, 0.97830339, 2.20706919, 1.00522394, 0.76781455, 0.80938681, 2.20781337, 1.17122435, 1.82586920, 1.36122880, 2.20773126, 1.14980547, 1.06593406, 0.81026979, 2.20789286, 0.71064367
4164.900000, 128, 0, 0, 35.9, 1.219482, 4095.000000, 1, 2.93337475, 3.03834208, 2.20708656, 1.35707364, 1.10278887, 0.47981657, 2.20560472, 1.20434608, 1.04652843, 1.47697756, 2.20690081, 0.89092905, 1.01165109, 0.96194625, 2.20527924, 0.64120490, 1.98557881, 0.97851917, 2.20708656, 1.00531985, 0.76784468, 0.80943107, 2.20771126, 1.17118241, 1.82589248, 1.36099217, 2.20488126, 1.14960820, 1.06563336, 0.81018171, 2.20722232, 0.71045687
4165.400000, 128, 0, 0, 35.9, 1.217651, 4095.000000, 1, 2.93121381, 3.03631325, 2.20698816, 1.35595765, 1.10222363, 0.47995063, 2.20492489, 1.20393519, 1.04597679, 1.47682871, 2.20485287, 0.89063005, 1.01137651, 0.96162229, 2.20474143, 0.64108761, 1.98502247, 0.97828365, 2.20469622, 1.00507255, 0.76775021, 0.80932928, 2.20700342, 1.17092127, 1.82580199, 1.36028691, 2.20710392, 1.14915742, 1.06536396, 0.81014284, 2.20756020, 0.71032507
