"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"7/23/2026","3:15 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
377.000000, 0, 0, 0, 36.3, 1.217651, 4095.000000, 0, 2.92777929, 3.04196846, 2.20754335, 1.34709269, 1.10084743, 0.48236568, 2.20805184, 1.19212497, 1.04072656, 1.49476980, 2.20748599, 0.88844603, 1.00836866, 0.95828365, 2.20742915, 0.63902457, 1.98293797, 0.97703014, 2.20748809, 1.00350682, 0.76600762, 0.80989981, 2.20732389, 1.17225237, 1.81773528, 1.35689212, 2.20783864, 1.14158478, 1.06021691, 0.80761210, 2.20806710, 0.70953634
377.600000, 0, 0, 0, 36.3, 1.220093, 4095.000000, 0, 2.92785974, 3.04204285, 2.20782337, 1.34717630, 1.10087020, 0.48236040, 2.20805658, 1.19209157, 1.04075820, 1.49477017, 2.20734494, 0.88846623, 1.00841699, 0.95832643, 2.20784759, 0.63903508, 1.98297164, 0.97704685, 2.20752388, 1.00354191, 0.76601526, 0.80993793, 2.20535653, 1.17220702, 1.81779259, 1.35695217, 2.20439242, 1.14163780, 1.06034757, 0.80761431, 2.20478401, 0.70956209
378.200000, 0, 0, 0, 36.3, 1.220093, 4095.000000, 0, 2.92794375, 3.04226754, 2.20699079, 1.34729712, 1.10090390, 0.48236528, 2.20789128, 1.19212060, 1.04083372, 1.49478794, 2.20769968, 0.88851050, 1.00843542, 0.95836433, 2.20798182, 0.63904252, 1.98294983, 0.97713370, 2.20532445, 1.00360402, 0.76602672, 0.80995515, 2.20506368, 1.17229989, 1.81781185, 1.35703178, 2.20478716, 1.14165962, 1.06039949, 0.80760744, 2.20701289, 0.70955496
378.700000, 0, 0, 0, 36.3, 1.217651, 4095.000000, 0, 2.92810252, 3.04247885, 2.20746072, 1.34748723, 1.10091248, 0.48238601, 2.20745493, 1.19212934, 1.04089415, 1.49480312, 2.20765073, 0.88852837, 1.00844688, 0.95833942, 2.20790760, 0.63904668, 1.98300388, 0.97714520, 2.20791760, 1.00363912, 0.76605157, 0.80996352, 2.20803657, 1.17230235, 1.81777640, 1.35714022, 2.20794234, 1.14175657, 1.06050248, 0.80763838, 2.20774073, 0.70957795
379.300000, 0, 0, 0, 36.2, 1.215210, 4095.000000, 0, 2.92846995, 3.04267827, 2.20510206, 1.34754252, 1.10095446, 0.48236861, 2.20465102, 1.19216150, 1.04093291, 1.49483199, 2.20476508, 0.88855012, 1.00850080, 0.95835621, 2.20491963, 0.63905500, 1.98306363, 0.97717260, 2.20480871, 1.00363466, 0.76607020, 0.80995564, 2.20480398, 1.17232765, 1.81782278, 1.35719685, 2.20522140, 1.14175112, 1.06055152, 0.80761382, 2.20882637, 0.70958945
379.800000, 128, 0, 0, 36.2, 1.218872, 4095.000000, 1, 2.92852621, 3.04260236, 2.20876475, 1.34766097, 1.10096599, 0.48237232, 2.20604385, 1.19216337, 1.04096797, 1.49481607, 2.20401720, 0.88855452, 1.00854075, 0.95838383, 2.20438086, 0.63903289, 1.98312053, 0.97718383, 2.20691765, 1.00368341, 0.76605826, 0.80997286, 2.20762494, 1.17228415, 1.81785516, 1.35711929, 2.20763283, 1.14180323, 1.06054114, 0.80762561, 2.20747704, 0.70951772
380.400000, 128, 0, 0, 36.3, 1.217041, 4095.000000, 1, 2.92555404, 3.04031894, 2.20748967, 1.34644067, 1.10104375, 0.48241299, 2.20801551, 1.19204568, 1.04031165, 1.49485642, 2.20528239, 0.88838078, 1.00833765, 0.95818755, 2.20487285, 0.63900465, 1.98266867, 0.97701617, 2.20465838, 1.00329099, 0.76593572, 0.80977388, 2.20465312, 1.17163573, 1.81754015, 1.35577110, 2.20457848, 1.14118371, 1.06017826, 0.80755783, 2.20688555, 0.70934808
381.000000, 128, 0, 0, 36.3, 1.217041, 4095.000000, 1, 2.92285104, 3.03784066, 2.20744178, 1.34501567, 1.10072977, 0.48238112, 2.20750230, 1.19173294, 1.03982250, 1.49475425, 2.20769862, 0.88811102, 1.00808457, 0.95795259, 2.20787759, 0.63890877, 1.98221880, 0.97675294, 2.20797077, 1.00293708, 0.76583325, 0.80962780, 2.20797024, 1.17132765, 1.81738616, 1.35495924, 2.20539807, 1.14076820, 1.05978403, 0.80751043, 2.20446232, 0.70925407
381.500000, 128, 0, 0, 36.3, 1.217041, 4095.000000, 1, 2.92192178, 3.03652928, 2.20669193, 1.34421177, 1.10051694, 0.48234398, 2.20772389, 1.19159468, 1.03951717, 1.49473241, 2.20766125, 0.88796994, 1.00791365, 0.95782321, 2.20790233, 0.63885339, 1.98183584, 0.97656862, 2.20717286, 1.00267706, 0.76576519, 0.80956312, 2.20732494, 1.17114634, 1.81728511, 1.35441330, 2.20703762, 1.14046511, 1.05946485, 0.80748219, 2.20738494, 0.70916857
382.100000, 128, 0, 0, 36.3, 1.217651, 4095.000000, 1, 2.92139408, 3.03585824, 2.20765494, 1.34365174, 1.10037595, 0.48234065, 2.20549745, 1.19146393, 1.03938048, 1.49472982, 2.20486286, 0.88784751, 1.00780138, 0.95772524, 2.20725863, 0.63882756, 1.98150840, 0.97637966, 2.20757599, 1.00250922, 0.76568064, 0.80948640, 2.20729863, 1.17104058, 1.81731310, 1.35407958, 2.20480346, 1.14021111, 1.05915352, 0.80745199, 2.20709761, 0.70912008
