trial_id,class,recorded_date,recorded_time,copied_file,original_file,sha256,total_rows,flag_0_rows,flag_1_rows,flag_3_rows,flag_6_rows,flag_7_rows,qc_status,qc_notes
bergamot_01,bergamot,6/16/2026,3:8 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_01.csv,C:\Users\dell-xps\smell-tracing\bergamot_01.csv,0c2ac391131c95a9b26f7c556bc4685b0941a81e108a7364f7aeeed92d4e8e98,156,11,20,58,9,58,pass,
bergamot_02,bergamot,6/16/2026,3:18 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_02.csv,C:\Users\dell-xps\smell-tracing\bergamot_02.csv,9b5e878efbe67f9b81e1d6f7e5fb2ad496ffda26e5c733b23a08d4a45da733e4,151,6,20,58,9,58,pass,
bergamot_03,bergamot,6/16/2026,3:21 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_03.csv,C:\Users\dell-xps\smell-tracing\bergamot_03.csv,836f70df4fb383cb5d8ce996af37d5f6b8d3e03087da9d6ad1b0b080e683166e,160,15,20,58,9,58,pass,
bergamot_04,bergamot,6/16/2026,3:27 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_04.csv,C:\Users\dell-xps\smell-tracing\bergamot_04.csv,7d13bd0309950b1fc499b8040532d62dea5f0d3020c52a686c46bff460ae05eb,197,52,20,58,9,58,pass,
bergamot_05,bergamot,6/16/2026,3:29 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_05.csv,C:\Users\dell-xps\smell-tracing\bergamot_05.csv,e5da0b847aeb75481bf3994bc56fe6d56aef693ee89628812f4ac661d1294dd1,151,6,20,58,9,58,pass,
bergamot_06,bergamot,6/16/2026,3:31 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_06.csv,C:\Users\dell-xps\smell-tracing\bergamot_06.csv,611ee53c4ac40d18909956938e91e3fbe692fa3a82e792d611cec295a81ee052,155,10,20,58,9,58,pass,
bergamot_07,bergamot,6/16/2026,3:45 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_07.csv,C:\Users\dell-xps\smell-tracing\bergamot_07.csv,62b5336228988d3b927fd457258ca19a50a94f07766f61ecd769e9e4ec2ccf14,167,22,20,58,9,58,pass,
bergamot_08,bergamot,6/16/2026,3:51 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_08.csv,C:\Users\dell-xps\smell-tracing\bergamot_08.csv,6ba1da8aec0ba4b2caf81a9bb9d616bddf302e3d5c0a335d78664c45a889a784,152,7,20,58,9,58,pass,
bergamot_09,bergamot,6/16/2026,3:54 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_09.csv,C:\Users\dell-xps\smell-tracing\bergamot_09.csv,56050a0fd0d0f22eb0ab138159b1a9b5053936144d1643cb39de1d013e330222,152,7,20,58,9,58,pass,
bergamot_10,bergamot,6/16/2026,4:0 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_10.csv,C:\Users\dell-xps\smell-tracing\bergamot_10.csv,c08102745bb3c1c950332d76d3ca09ed5eba33358e2e86b0ef36450e8ff1a2b9,159,14,20,58,9,58,pass,
bergamot_11,bergamot,6/16/2026,4:4 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_11.csv,C:\Users\dell-xps\smell-tracing\bergamot_11.csv,0a2bc81fa4947387b08738de3b19d080744d0cf19774ded94526ef458424bd59,160,15,20,58,9,58,pass,
bergamot_12,bergamot,6/16/2026,4:6 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_12.csv,C:\Users\dell-xps\smell-tracing\bergamot_12.csv,efc9e6e43f2610c799a735e167b41e2a43fc1b14c231900579b3969c52605c29,172,27,20,58,9,58,pass,
bergamot_13,bergamot,6/16/2026,4:15 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_13.csv,C:\Users\dell-xps\smell-tracing\bergamot_13.csv,11327aa492965ea5fb325a1bf77ba9c39bcf72cc99de1664f50596084e3ed05f,158,12,21,58,9,58,pass_with_warning,"flag 1: 21, expected 20"
bergamot_14,bergamot,6/16/2026,4:25 PM,experiments\classifier\mint-identity-pilot-01\raw\pcnose\bergamot\bergamot_14.csv,C:\Users\dell-xps\smell-tracing\bergamot_14.csv,cf30e1454f7b1a8a6eda2b36e5dc0f4cb3d194011d56515d615205677e40a6b7,157,12,20,58,9,58,pass,
