"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"7/23/2026","2:41 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
75687.700000, 0, 0, 0, 35.7, 1.216431, 4095.000000, 0, 2.92882105, 3.04321409, 2.20480714, 1.34718142, 1.09880699, 0.48480132, 2.20732652, 1.19005936, 1.04669462, 1.49520592, 2.20768178, 0.88813069, 1.00782763, 0.95850946, 2.20579982, 0.63896568, 1.98029052, 0.97557343, 2.20743441, 1.00282934, 0.76550990, 0.80993695, 2.20765494, 1.17407585, 1.81645809, 1.35760221, 2.20766810, 1.13708427, 1.05833368, 0.80686102, 2.20813975, 0.70865017
75688.200000, 128, 0, 0, 35.7, 1.218872, 4095.000000, 1, 2.92881678, 3.04313818, 2.20758441, 1.34719610, 1.09876063, 0.48479681, 2.20784917, 1.18999732, 1.04673781, 1.49515742, 2.20809606, 0.88812551, 1.00782428, 0.95847642, 2.20834614, 0.63895758, 1.98031041, 0.97556550, 2.20713339, 1.00278675, 0.76553235, 0.80994212, 1.86516445, 1.17410396, 1.81639993, 1.35763207, 1.98653614, 1.13711721, 1.05837286, 0.80685636, 2.06413754, 0.70866028
75688.800000, 128, 0, 0, 35.7, 1.220093, 4095.000000, 1, 2.92881251, 3.04324684, 2.11319185, 1.34723056, 1.09878809, 0.48479799, 2.14544615, 1.19003536, 1.04674640, 1.49517556, 2.17052746, 0.88812655, 1.00782903, 0.95851839, 2.18533384, 0.63896546, 1.98048090, 0.97559998, 2.19308912, 1.00286136, 0.76556196, 0.80998369, 2.19731439, 1.17417191, 1.81652892, 1.35770725, 2.20286670, 1.13712809, 1.05841752, 0.80684090, 2.20627897, 0.70865246
75689.300000, 128, 0, 0, 35.7, 1.218262, 4095.000000, 1, 2.92808828, 3.04299901, 2.20725127, 1.34701830, 1.09882382, 0.48481209, 2.20530553, 1.19002476, 1.04657219, 1.49517334, 2.20708182, 0.88807659, 1.00777178, 0.95846776, 2.20778705, 0.63894883, 1.98015792, 0.97555783, 2.20534075, 1.00279231, 0.76553736, 0.80992170, 2.20495801, 1.17408172, 1.81638332, 1.35753081, 2.20712076, 1.13706705, 1.05838726, 0.80685268, 2.20771599, 0.70863684
75689.900000, 128, 0, 0, 35.7, 1.220703, 4095.000000, 1, 2.92777145, 3.04252647, 2.20759283, 1.34679685, 1.09869774, 0.48480014, 2.20781390, 1.18994806, 1.04651242, 1.49518296, 2.20785127, 0.88802559, 1.00774777, 0.95840359, 2.20731600, 0.63893788, 1.98026258, 0.97554333, 2.20521457, 1.00271548, 0.76551587, 0.80988530, 2.20732389, 1.17399894, 1.81627095, 1.35739523, 2.20750125, 1.13700541, 1.05828441, 0.80685562, 2.20749704, 0.70861892
75690.500000, 128, 0, 0, 35.7, 1.217041, 4095.000000, 1, 2.92768389, 3.04223406, 2.20756546, 1.34676307, 1.09867766, 0.48478898, 2.20801499, 1.18995429, 1.04645407, 1.49515964, 2.20723864, 0.88803025, 1.00771537, 0.95837435, 2.20767231, 0.63891687, 1.98027300, 0.97551569, 2.20517619, 1.00274861, 0.76548578, 0.80989858, 2.20734284, 1.17396652, 1.81634615, 1.35740587, 2.20711971, 1.13699182, 1.05832215, 0.80681218, 2.20756756, 0.70861731
75691.000000, 128, 0, 0, 35.7, 1.218872, 4095.000000, 1, 2.92762267, 3.04210311, 2.20513728, 1.34670200, 1.09859204, 0.48478545, 2.20717707, 1.18990691, 1.04641860, 1.49515520, 2.20764967, 0.88802973, 1.00770560, 0.95837976, 2.20767283, 0.63891380, 1.98016787, 0.97550255, 2.20762336, 1.00272522, 0.76548292, 0.80988579, 2.20794550, 1.17403137, 1.81629587, 1.35736125, 2.20778863, 1.13696614, 1.05826137, 0.80682077, 2.20782916, 0.70859893
75691.600000, 128, 0, 0, 35.7, 1.217651, 4095.000000, 1, 2.92759561, 3.04224894, 2.20764809, 1.34667982, 1.09858791, 0.48479348, 2.20566361, 1.18989412, 1.04636341, 1.49514705, 2.20732073, 0.88799738, 1.00770029, 0.95839005, 2.20754230, 0.63891161, 1.98013093, 0.97547491, 2.20529764, 1.00270379, 0.76547886, 0.80988751, 2.20719391, 1.17398783, 1.81633522, 1.35726514, 2.20755967, 1.13692293, 1.05825359, 0.80681807, 2.20769915, 0.70859939
75692.100000, 128, 0, 0, 35.7, 1.218872, 4095.000000, 1, 2.92763548, 3.04225861, 2.20754125, 1.34658532, 1.09856252, 0.48478056, 2.20745230, 1.18983021, 1.04640202, 1.49513335, 2.20770283, 0.88798236, 1.00767460, 0.95835242, 2.20775758, 0.63891161, 1.98017497, 0.97546396, 2.20534706, 1.00267317, 0.76545498, 0.80987325, 2.20708287, 1.17399833, 1.81638244, 1.35723940, 2.20714128, 1.13691931, 1.05819482, 0.80682249, 2.20754704, 0.70859158
75692.700000, 128, 0, 0, 35.7, 1.220093, 4095.000000, 1, 2.92773159, 3.04208972, 2.20743809, 1.34659214, 1.09861625, 0.48477409, 2.20777179, 1.18982772, 1.04640945, 1.49512706, 2.20764020, 0.88798728, 1.00762713, 0.95835567, 2.20768389, 0.63891249, 1.98002155, 0.97543386, 2.20541226, 1.00267762, 0.76545737, 0.80990743, 2.20755756, 1.17396281, 1.81636539, 1.35718449, 2.20779126, 1.13691840, 1.05813116, 0.80681782, 2.20774021, 0.70858882
