"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"7/27/2026","4:16 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
3840.700000, 0, 0, 0, 36.2, 1.218872, 4095.000000, 0, 2.93074762, 3.04822268, 2.20759230, 1.35107173, 1.10154145, 0.48144243, 2.20547694, 1.19060446, 1.04541676, 1.49778476, 2.20449649, 0.88897511, 1.00846671, 0.95815723, 2.20665090, 0.63897466, 1.98030851, 0.97687017, 2.20743546, 1.00399095, 0.76603174, 0.81047449, 2.20734494, 1.17484572, 1.81697455, 1.36125254, 2.20748914, 1.14221809, 1.06219616, 0.80772164, 2.20791076, 0.70988099
3841.300000, 0, 0, 0, 36.2, 1.216431, 4095.000000, 0, 2.93082745, 3.04822193, 2.20753020, 1.35105463, 1.10158286, 0.48143637, 2.20777811, 1.19061974, 1.04534874, 1.49778735, 2.20754020, 0.88899738, 1.00846783, 0.95814071, 2.20732863, 0.63898692, 1.98017071, 0.97685647, 2.20726863, 1.00402689, 0.76604177, 0.81045358, 2.20779442, 1.17486178, 1.81691026, 1.36125563, 2.20780758, 1.14224113, 1.06226807, 0.80772066, 2.20836772, 0.70988972
3841.800000, 128, 0, 0, 36.2, 1.219482, 4095.000000, 1, 2.93080108, 3.04811232, 2.20742546, 1.35107344, 1.10158168, 0.48145415, 2.20796340, 1.19061787, 1.04538447, 1.49781553, 2.20620954, 0.88899842, 1.00848208, 0.95815885, 2.20742441, 0.63897269, 1.98029857, 0.97683922, 2.20661775, 1.00400962, 0.76606303, 0.81048655, 2.19114225, 1.17485313, 1.81689670, 1.36139632, 2.19616319, 1.14235782, 1.06227500, 0.80774866, 2.20289033, 0.70987570
3842.400000, 128, 0, 0, 36.2, 1.218872, 4095.000000, 1, 2.92994590, 3.04743235, 2.20605805, 1.35081079, 1.10164113, 0.48147271, 2.20724969, 1.19063128, 1.04520812, 1.49783518, 2.20534654, 0.88897226, 1.00837760, 0.95810309, 2.20723232, 0.63898320, 1.98020338, 0.97676499, 2.20774231, 1.00382129, 0.76597943, 0.81039428, 2.20727074, 1.17454106, 1.81674713, 1.36058019, 2.20768704, 1.14185293, 1.06193657, 0.80768308, 2.20784022, 0.70971130
3842.900000, 128, 0, 0, 36.2, 1.218262, 4095.000000, 1, 2.92771379, 3.04534063, 2.20718549, 1.34969324, 1.10124128, 0.48142915, 2.20769125, 1.19037274, 1.04477378, 1.49775584, 2.20533760, 0.88874848, 1.00820887, 0.95794636, 2.20729968, 0.63891840, 1.97980801, 0.97666502, 2.20529448, 1.00362241, 0.76591685, 0.81028356, 2.20496116, 1.17425068, 1.81664655, 1.35998681, 2.20470200, 1.14156418, 1.06167211, 0.80767841, 2.20461633, 0.70965451
3843.500000, 128, 0, 0, 36.2, 1.217041, 4095.000000, 1, 2.92685821, 3.04437320, 2.20443867, 1.34901978, 1.10109313, 0.48140414, 2.20484446, 1.19026079, 1.04453352, 1.49771283, 2.20674875, 0.88860372, 1.00809714, 0.95780102, 2.20732442, 0.63887046, 1.97957130, 0.97651686, 2.20757704, 1.00347256, 0.76584281, 0.81022427, 2.20524296, 1.17415677, 1.81652280, 1.35951527, 2.20724074, 1.14137000, 1.06144175, 0.80763494, 2.20728284, 0.70956301
3844.000000, 128, 0, 0, 36.2, 1.218872, 4095.000000, 1, 2.92639708, 3.04386840, 2.20737283, 1.34855591, 1.10101507, 0.48136546, 2.20797972, 1.19022618, 1.04439583, 1.49768576, 2.20748178, 0.88855090, 1.00805050, 0.95775717, 2.20520090, 0.63884069, 1.97937343, 0.97642019, 2.20479610, 1.00326648, 0.76580459, 0.81017974, 2.20489755, 1.17403786, 1.81653461, 1.35921289, 2.20430623, 1.14119219, 1.06126309, 0.80759982, 2.20458164, 0.70953382
3844.600000, 128, 0, 0, 36.2, 1.218262, 4095.000000, 1, 2.92596948, 3.04351182, 2.20677717, 1.34813143, 1.10092223, 0.48133518, 2.20757862, 1.19013388, 1.04427472, 1.49767204, 2.20764494, 0.88848280, 1.00797760, 0.95766840, 2.20754809, 0.63880239, 1.97917842, 0.97633695, 2.20755335, 1.00319324, 0.76576375, 0.81014309, 2.20780758, 1.17398103, 1.81650619, 1.35901843, 2.20718601, 1.14104045, 1.06105732, 0.80758288, 2.20756072, 0.70948876
3845.200000, 128, 0, 0, 36.2, 1.218872, 4095.000000, 1, 2.92590901, 3.04331383, 2.20528923, 1.34796584, 1.10081817, 0.48134397, 2.20508523, 1.19004814, 1.04418532, 1.49765684, 2.20721127, 0.88841548, 1.00792286, 0.95763539, 2.20764862, 0.63879232, 1.97911736, 0.97624960, 2.20749493, 1.00310358, 0.76570500, 0.81009758, 2.20777021, 1.17390753, 1.81640562, 1.35881815, 2.20786127, 1.14090780, 1.06089861, 0.80756913, 2.20544329, 0.70946508
3845.700000, 128, 0, 0, 36.2, 1.218872, 4095.000000, 1, 2.92556186, 3.04315083, 2.20464208, 1.34773232, 1.10080900, 0.48133694, 2.20725074, 1.19002101, 1.04413334, 1.49766797, 2.20772020, 0.88836602, 1.00785165, 0.95760183, 2.20759230, 0.63877481, 1.97892758, 0.97616746, 2.20757125, 1.00300669, 0.76569688, 0.81009586, 2.20784390, 1.17385472, 1.81643797, 1.35865912, 2.20778863, 1.14080968, 1.06071712, 0.80754678, 2.20777547, 0.70943014
