"Sensigent +++ PCNose+ Sensor Values +++ Sensor Resistances (in kOhms) for Cyranose 320 unit +++ Serial Number: B210423113 +++ Firmware version: 40.51"
"7/22/2026","5:54 PM","Heater ON: Temperature set at 42.0 degrees celsius","Sensor values are not filtered"
"Time","","","","Ambient Temp [C]","Therm1 [volts]","Battery Raw Reading","Flag","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32"
854.900000, 0, 0, 0, 36.5, 1.218872, 4095.000000, 0, 2.92946926, 3.04369494, 2.20783811, 1.34758792, 1.10328413, 0.48873714, 2.20790497, 1.19394557, 1.04400568, 1.49475832, 2.20788496, 0.88917093, 1.00924552, 0.95973462, 2.20783074, 0.63926168, 1.98649244, 0.97844651, 2.20761230, 1.00436822, 0.76623790, 0.81008774, 2.20779653, 1.17366388, 1.82139637, 1.35935101, 2.20751072, 1.14316062, 1.06275909, 0.80828395, 2.20734757, 0.70990858
855.500000, 0, 0, 0, 36.5, 1.219482, 4095.000000, 0, 2.92959250, 3.04356840, 2.20736073, 1.34770740, 1.10331493, 0.48875502, 2.20765757, 1.19393964, 1.04402482, 1.49477424, 2.20795445, 0.88917093, 1.00925726, 0.95973028, 2.20744020, 0.63926452, 1.98651049, 0.97848627, 2.20532393, 1.00443314, 0.76626322, 0.81008356, 2.20732494, 1.17365646, 1.82144897, 1.35944482, 2.20482028, 1.14317336, 1.06288880, 0.80831736, 2.20733757, 0.70992789
856.000000, 0, 0, 0, 36.5, 1.217041, 4095.000000, 0, 2.92980838, 3.04380140, 2.20731915, 1.34785351, 1.10340967, 0.48876798, 2.20758651, 1.19396557, 1.04407622, 1.49473871, 2.20520247, 0.88920331, 1.00927095, 0.95976768, 2.20717812, 0.63925817, 1.98660501, 0.97851040, 2.20739757, 1.00444373, 0.76626681, 0.81007839, 2.20755125, 1.17367654, 1.82151472, 1.35955857, 2.20528765, 1.14323249, 1.06300119, 0.80831614, 2.20494644, 0.70994813
856.600000, 0, 0, 0, 36.5, 1.217041, 4095.000000, 0, 2.92975352, 3.04371281, 2.20462474, 1.34796379, 1.10341116, 0.48876209, 2.20477928, 1.19400464, 1.04413677, 1.49476906, 2.20438349, 0.88924424, 1.00931707, 0.95974871, 2.20665511, 0.63925467, 1.98673326, 0.97853288, 2.20478716, 1.00452622, 0.76627469, 0.81012292, 2.20702762, 1.17371019, 1.82142530, 1.35962455, 2.20740283, 1.14329527, 1.06301217, 0.80832203, 2.20771020, 0.70995894
857.100000, 0, 0, 0, 36.5, 1.217651, 4095.000000, 0, 2.93005919, 3.04409622, 2.20744230, 1.34806861, 1.10341945, 0.48875423, 2.20509522, 1.19402464, 1.04421074, 1.49477424, 2.20671350, 0.88926834, 1.00931428, 0.95976524, 2.20753651, 0.63926868, 1.98681069, 0.97855948, 2.20762072, 1.00453821, 0.76628043, 0.81012365, 2.20812291, 1.17371544, 1.82139505, 1.35970875, 2.20812501, 1.14337048, 1.06309018, 0.80831024, 2.20818187, 0.70997825
857.700000, 128, 0, 0, 36.5, 1.218872, 4095.000000, 1, 2.93013045, 3.04400315, 2.20813028, 1.34815158, 1.10345557, 0.48876838, 2.20713392, 1.19400183, 1.04417533, 1.49472945, 2.20477034, 0.88928803, 1.00936767, 0.95977418, 2.19981579, 0.63929868, 1.98679122, 0.97860911, 2.20329583, 1.00459283, 0.76628759, 0.81015563, 2.20482028, 1.17374046, 1.82135604, 1.35983970, 2.20299170, 1.14341173, 1.06315461, 0.80831614, 2.20467677, 0.70998975
858.300000, 128, 0, 0, 36.5, 1.217651, 4095.000000, 1, 2.92934744, 3.04355723, 2.20439242, 1.34792043, 1.10351331, 0.48877506, 2.20432042, 1.19402839, 1.04384491, 1.49476832, 2.20428941, 0.88919269, 1.00923406, 0.95967040, 2.20444761, 0.63925270, 1.98673374, 0.97857017, 2.20454011, 1.00439497, 0.76623312, 0.81000312, 2.20720180, 1.17326281, 1.82118028, 1.35876354, 2.20753441, 1.14312818, 1.06290065, 0.80831884, 2.20771441, 0.70980856
858.800000, 128, 0, 0, 36.5, 1.217651, 4095.000000, 1, 2.92493811, 3.03962613, 2.20741441, 1.34580902, 1.10350117, 0.48882004, 2.20538860, 1.19372465, 1.04303187, 1.49477757, 2.20723285, 0.88886192, 1.00887214, 0.95937778, 2.20488651, 0.63914323, 1.98603700, 0.97826391, 2.20700236, 1.00387060, 0.76610460, 0.80983045, 2.20521036, 1.17268838, 1.82106502, 1.35762624, 2.20422320, 1.14254696, 1.06233189, 0.80826650, 2.20681031, 0.70964945
859.400000, 128, 0, 0, 36.5, 1.218872, 4095.000000, 1, 2.92300737, 3.03765647, 2.20752493, 1.34447447, 1.10318554, 0.48881002, 2.20773284, 1.19346470, 1.04251793, 1.49475499, 2.20767073, 0.88860243, 1.00865390, 0.95912124, 2.20749335, 0.63907011, 1.98540790, 0.97795524, 2.20775073, 1.00346978, 0.76596964, 0.80966469, 2.20543172, 1.17238319, 1.82094582, 1.35676207, 2.20475825, 1.14206747, 1.06178470, 0.80823284, 2.20696921, 0.70951818
859.900000, 128, 0, 0, 36.5, 1.217651, 4095.000000, 1, 2.92222155, 3.03661020, 2.20727232, 1.34365992, 1.10291615, 0.48879097, 2.20555529, 1.19333193, 1.04228000, 1.49474130, 2.20495958, 0.88843671, 1.00852454, 0.95904296, 2.20476298, 0.63902545, 1.98510221, 0.97773899, 2.20699605, 1.00320410, 0.76589296, 0.80959632, 2.20721706, 1.17225422, 1.82074906, 1.35627801, 2.20529816, 1.14167689, 1.06137854, 0.80820139, 2.20499744, 0.70946393
