trial_id,class,recorded_date,recorded_time,repository_file,source_file,sha256,source_sha256,copy_hash_match,serial_number,sensor_count,unfiltered_metadata,total_rows,flag_0_rows,flag_1_rows,flag_3_rows,flag_6_rows,flag_7_rows,nonfinite_flag_3_values,qc_status,qc_notes,duplicate_sha_count
blank-1,ambient,7/23/2026,2:31 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-1.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-1.csv,d579d963036e2b9ea8d8baffe0e41201973ec12d4826177c5a4d564877d933f1,d579d963036e2b9ea8d8baffe0e41201973ec12d4826177c5a4d564877d933f1,True,B210423113,32,True,215,70,20,58,9,58,0,pass,,1
blank-10,ambient,7/23/2026,2:47 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-10.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-10.csv,22f21d6cd6c699846b6af7c410cc526650d1a193de78847a24bea6fa07783624,22f21d6cd6c699846b6af7c410cc526650d1a193de78847a24bea6fa07783624,True,B210423113,32,True,226,82,20,58,9,57,0,pass_with_warning,"flag 7: 57, expected 58",1
blank-11,ambient,7/23/2026,2:50 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-11.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-11.csv,eb61ebf579a0e437c67b24b5dd72cff0f09f787bce46e0f1c344ad18bac26b3b,eb61ebf579a0e437c67b24b5dd72cff0f09f787bce46e0f1c344ad18bac26b3b,True,B210423113,32,True,154,9,20,58,9,58,0,pass,,1
blank-12,ambient,7/23/2026,2:51 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-12.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-12.csv,dbee51bc61b0ebfaa3e3c53a5cbcc224614b6b930a40dc88e48e4e931a4ff437,dbee51bc61b0ebfaa3e3c53a5cbcc224614b6b930a40dc88e48e4e931a4ff437,True,B210423113,32,True,162,17,20,58,9,58,0,pass,,1
blank-13,ambient,7/23/2026,2:53 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-13.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-13.csv,f9b1ef76ffd84075d0905c7800ae5e5b235bf5ef4f3f770125feb5eefb3264ce,f9b1ef76ffd84075d0905c7800ae5e5b235bf5ef4f3f770125feb5eefb3264ce,True,B210423113,32,True,162,17,20,58,9,58,0,pass,,1
blank-14,ambient,7/23/2026,2:54 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-14.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-14.csv,a19b678bf92522d8bff20e4da00a3709101a7fe027fb2ab8fe7b8b395a5ebdf5,a19b678bf92522d8bff20e4da00a3709101a7fe027fb2ab8fe7b8b395a5ebdf5,True,B210423113,32,True,159,14,20,58,9,58,0,pass,,1
blank-15,ambient,7/23/2026,2:56 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-15.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-15.csv,3145350cc28457fbb3169c7295808201444c34eb77a91be76ff3e22aa6c3b222,3145350cc28457fbb3169c7295808201444c34eb77a91be76ff3e22aa6c3b222,True,B210423113,32,True,195,50,20,58,9,58,0,pass,,1
blank-2,ambient,7/23/2026,2:34 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-2.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-2.csv,26eca7dee2220227bb553e125492db4a1b2fb0a380ae85e68b3eba018e4d4990,26eca7dee2220227bb553e125492db4a1b2fb0a380ae85e68b3eba018e4d4990,True,B210423113,32,True,149,4,20,58,9,58,0,pass,,1
blank-3,ambient,7/23/2026,2:36 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-3.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-3.csv,ff8fdd1b2756727dadab6fd9c53cabaf7655f715698bf9a5bf39305444122c26,ff8fdd1b2756727dadab6fd9c53cabaf7655f715698bf9a5bf39305444122c26,True,B210423113,32,True,194,48,21,58,9,58,0,pass_with_warning,"flag 1: 21, expected 20",1
blank-4,ambient,7/23/2026,2:38 PM,experiments\classifier\mint-lavender-ambient-pilot-01\raw\pcnose\ambient\blank-4.csv,c:\Users\dell-xps\Documents\realsense-apriltag\experiments\classifier\mint-identity-pilot-01\raw\pcnose\blank\blank-4.csv,e89ecae41431443773e7b35d7c040ea9f5eabf1e14c730be8d318f9111b136df,e89ecae41431443773e7b35d7c040ea9f5eabf1e14c730be8d318f9111b136df,True,B210423113,32,True,148,3,20,58,9,58,0,pass,,1
