pcnose_host_time_utc,pcnose_elapsed_s,pcnose_device_time_s,pcnose_therm1_volts,pcnose_battery_raw,pcnose_flag,pcnose_sd_field1_hex,pcnose_sd_field2_hex,pcnose_sensor_mask_hex,pcnose_active_sensor_count,pcnose_S1_kohm,pcnose_S2_kohm,pcnose_S3_kohm,pcnose_S4_kohm,pcnose_S5_kohm,pcnose_S6_kohm,pcnose_S7_kohm,pcnose_S8_kohm,pcnose_S9_kohm,pcnose_S10_kohm,pcnose_S11_kohm,pcnose_S12_kohm,pcnose_S13_kohm,pcnose_S14_kohm,pcnose_S15_kohm,pcnose_S16_kohm,pcnose_S17_kohm,pcnose_S18_kohm,pcnose_S19_kohm,pcnose_S20_kohm,pcnose_S21_kohm,pcnose_S22_kohm,pcnose_S23_kohm,pcnose_S24_kohm,pcnose_S25_kohm,pcnose_S26_kohm,pcnose_S27_kohm,pcnose_S28_kohm,pcnose_S29_kohm,pcnose_S30_kohm,pcnose_S31_kohm,pcnose_S32_kohm,pcnose_raw_frame,pose_minus_pcnose_ms,pose_host_timestamp_utc,pose_elapsed_s,camera_timestamp_ms,frame_number,tag_0_visible,tag_0_rms_px,tag_0_cam_x_cm,tag_0_cam_y_cm,tag_0_cam_z_cm,tag_0_cam_rvec_x_rad,tag_0_cam_rvec_y_rad,tag_0_cam_rvec_z_rad,tag_0_desk_x_cm,tag_0_desk_y_cm,tag_0_desk_z_cm,tag_0_desk_rvec_x_rad,tag_0_desk_rvec_y_rad,tag_0_desk_rvec_z_rad,tag_1_visible,tag_1_rms_px,tag_1_cam_x_cm,tag_1_cam_y_cm,tag_1_cam_z_cm,tag_1_cam_rvec_x_rad,tag_1_cam_rvec_y_rad,tag_1_cam_rvec_z_rad,tag_1_desk_x_cm,tag_1_desk_y_cm,tag_1_desk_z_cm,tag_1_desk_rvec_x_rad,tag_1_desk_rvec_y_rad,tag_1_desk_rvec_z_rad,tag_2_visible,tag_2_rms_px,tag_2_cam_x_cm,tag_2_cam_y_cm,tag_2_cam_z_cm,tag_2_cam_rvec_x_rad,tag_2_cam_rvec_y_rad,tag_2_cam_rvec_z_rad,tag_2_desk_x_cm,tag_2_desk_y_cm,tag_2_desk_z_cm,tag_2_desk_rvec_x_rad,tag_2_desk_rvec_y_rad,tag_2_desk_rvec_z_rad,tag_3_visible,tag_3_rms_px,tag_3_cam_x_cm,tag_3_cam_y_cm,tag_3_cam_z_cm,tag_3_cam_rvec_x_rad,tag_3_cam_rvec_y_rad,tag_3_cam_rvec_z_rad,tag_3_desk_x_cm,tag_3_desk_y_cm,tag_3_desk_z_cm,tag_3_desk_rvec_x_rad,tag_3_desk_rvec_y_rad,tag_3_desk_rvec_z_rad,tag_4_visible,tag_4_rms_px,tag_4_cam_x_cm,tag_4_cam_y_cm,tag_4_cam_z_cm,tag_4_cam_rvec_x_rad,tag_4_cam_rvec_y_rad,tag_4_cam_rvec_z_rad,tag_4_desk_x_cm,tag_4_desk_y_cm,tag_4_desk_z_cm,tag_4_desk_rvec_x_rad,tag_4_desk_rvec_y_rad,tag_4_desk_rvec_z_rad,tag_5_visible,tag_5_rms_px,tag_5_cam_x_cm,tag_5_cam_y_cm,tag_5_cam_z_cm,tag_5_cam_rvec_x_rad,tag_5_cam_rvec_y_rad,tag_5_cam_rvec_z_rad,tag_5_desk_x_cm,tag_5_desk_y_cm,tag_5_desk_z_cm,tag_5_desk_rvec_x_rad,tag_5_desk_rvec_y_rad,tag_5_desk_rvec_z_rad,tag_6_visible,tag_6_rms_px,tag_6_cam_x_cm,tag_6_cam_y_cm,tag_6_cam_z_cm,tag_6_cam_rvec_x_rad,tag_6_cam_rvec_y_rad,tag_6_cam_rvec_z_rad,tag_6_desk_x_cm,tag_6_desk_y_cm,tag_6_desk_z_cm,tag_6_desk_rvec_x_rad,tag_6_desk_rvec_y_rad,tag_6_desk_rvec_z_rad,cube_pose_valid,cube_used_tag_ids,cube_rms_px,cube_cam_x_cm,cube_cam_y_cm,cube_cam_z_cm,cube_cam_rvec_x_rad,cube_cam_rvec_y_rad,cube_cam_rvec_z_rad,cube_desk_x_cm,cube_desk_y_cm,cube_desk_z_cm,cube_desk_rvec_x_rad,cube_desk_rvec_y_rad,cube_desk_rvec_z_rad,snout_position_valid,snout_cam_x_cm,snout_cam_y_cm,snout_cam_z_cm,snout_desk_x_cm,snout_desk_y_cm,snout_desk_z_cm
2026-07-21T00:23:51.052+00:00,0.000000,117459.900000,1.218555,4095,0,02,00,FFFFFFFF,32,2.93015682,3.04596417,2.20728442,1.35468162,1.10197540,0.50914465,2.20789338,1.19463009,1.05163475,1.49415245,2.20739599,0.89099103,1.00963380,0.96101822,2.20787285,0.63977828,1.98033693,0.97812684,2.20769125,1.00571444,0.76648638,0.81098761,2.20789760,1.17766155,1.81737872,1.36505063,2.20771599,1.14260820,1.06402892,0.80758411,2.20810659,0.71072535,SD 02 00 FFFFFFFF 91EEEE 945BC5 7FEBDB 614991 552D6F 2FEF40 7FF060 59D388 528A7D 674368 7FECAF 498E1B 504735 4D9589 7FF039 3978E7 78FC0F 4E8AA4 7FEEE0 501061 41EC6D 44B937 7FF068 58FE73 738583 61BF69 7FEF0F 573F70 533297 448324 7FF1F5 3E4B71 7CC7B2 000FFF 00 11EC47,7.3062,2026-07-21T00:23:51.060+00:00,0.125643,1784593430981.0,6,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.04794265802529449,-44.21905513883926,9.307073783003574,76.70705870878139,0.021544078191388105,0.03083982965227531,0.29618149042480074,5.684341886080802e-15,2.842170943040401e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-21T00:23:51.565+00:00,1.200000,117461.100000,1.216724,4095,0,02,00,FFFFFFFF,32,2.93005349,3.04599919,2.20735862,1.35463673,1.10198131,0.50914086,2.20750809,1.19466417,1.05163389,1.49413542,2.20538229,0.89100659,1.00961032,0.96106622,2.20735336,0.63979230,1.98032319,0.97811094,2.20748651,1.00573229,0.76649785,0.81094528,2.20513465,1.17765845,1.81743909,1.36496860,2.20712181,1.14258971,1.06409512,0.80757698,2.20543014,0.71069751,SD 02 00 FFFFFFFF 91EE5D 945BF4 7FEC68 61490E 552D83 2FEF2D 7FED84 59D3F5 528A7A 67433A 7FDDBB 498E57 5046E1 4D963A 7FEC5E 397927 78FBF2 4E8A6A 7FED5B 5010A1 41EC9D 44B88B 7FDBE4 58FE69 73860D 61BE7B 7FEAA6 573F33 53337C 448307 7FDE16 3E4AF8 7C97B2 000FFF 00 11EC53,15.8331,2026-07-21T00:23:51.579+00:00,0.64608,1784593431517.855,22,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.03354951027501029,-44.24106020553886,9.312554749530861,76.74918357737617,0.02165100630137529,0.03281158295918051,0.2962277515765731,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-21T00:23:52.121+00:00,1.700000,117461.600000,1.215504,4095,0,02,00,FFFFFFFF,32,2.93017035,3.04596715,2.20718654,1.35472035,1.10202303,0.50913588,2.20761967,1.19468699,1.05170045,1.49421092,2.20784074,0.89100478,1.00959298,0.96104045,2.20779390,0.63980479,1.98034119,0.97814987,2.20761336,1.00569827,0.76651314,0.81095315,2.20783338,1.17769993,1.81744784,1.36508752,2.20763336,1.14261760,1.06403643,0.80758853,2.20772178,0.71072903,SD 02 00 FFFFFFFF 91EF01 945BC9 7FEB21 614A02 552E10 2FEF14 7FEE58 59D43E 528B62 674406 7FEFFC 498E50 5046A3 4D95DB 7FEFA3 397960 78FC18 4E8AF8 7FEE4C 501027 41ECDD 44B8AB 7FEFEE 58FEEF 738621 61BFD4 7FEE72 573F8F 5332B1 448336 7FEF1A 3E4B81 7C77B2 000FFF 00 11EC58,-18.6669,2026-07-21T00:23:52.103+00:00,1.168922,1784593432051.854,38,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.01855119962721206,-44.247561669547785,9.31457911907427,76.7577197010803,0.023473104758171607,0.031369473066271795,0.29553150747500445,-5.684341886080802e-15,-2.842170943040401e-15,1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-21T00:23:52.681+00:00,2.900000,117462.800000,1.219776,4095,0,02,00,FFFFFFFF,32,2.93008627,3.04588445,2.20724442,1.35474880,1.10200439,0.50913707,2.20772020,1.19465229,1.05170074,1.49419278,2.20769441,0.89100659,1.00961815,0.96102635,2.20772757,0.63979208,1.98033030,0.97813973,2.20525978,1.00573620,0.76651673,0.81095192,2.20745283,1.17768259,1.81731398,1.36501892,2.20744388,1.14262912,1.06404279,0.80757035,2.20541594,0.71071200,SD 02 00 FFFFFFFF 91EE8B 945B5A 7FEB8F 614A55 552DD1 2FEF1A 7FEF17 59D3CF 528B63 6743D5 7FEEE6 498E57 5046FD 4D95A7 7FEF25 397926 78FC01 4E8AD3 7FDCD2 5010AF 41ECEC 44B8A6 7FED1B 58FEB7 7384EF 61BF0D 7FED0A 573FB5 5332C7 4482EC 7FDDFB 3E4B37 7CE7B2 000FFF 00 11EC64,12.4706,2026-07-21T00:23:52.692+00:00,1.758804,1784593432616.214,55,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.06339451828696381,-44.23539119913828,9.315466466991055,76.74463103011915,0.02143496871116832,0.03197819321798259,0.29460668271356183,0.0,-2.842170943040401e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-21T00:23:53.237+00:00,4.100000,117464.000000,1.218555,4095,0,02,00,FFFFFFFF,32,2.93030219,3.04591127,2.20475299,1.35478992,1.10198545,0.50915263,2.20728074,1.19463603,1.05171107,1.49417206,2.20526451,0.89100140,1.00964023,0.96106893,2.20454852,0.63977785,1.98033645,0.97816358,2.20686293,1.00573843,0.76649785,0.81095537,2.20539649,1.17768167,1.81739053,1.36507649,2.20447389,1.14261790,1.06401562,0.80757674,2.20687556,0.71071476,SD 02 00 FFFFFFFF 91EFBA 945B7E 7FD90E 614ACD 552D91 2FEF68 7FEBD4 59D39B 528B87 67439D 7FDCDB 498E43 50474C 4D9644 7FD789 3978E5 78FC0E 4E8B2A 7FE8BA 5010B7 41EC9D 44B8B4 7FDDD6 58FEB4 73859E 61BFB4 7FD6FB 573F90 533269 448306 7FE8D2 3E4B43 7CC7B2 000FFF 00 11EC70,-37.9365,2026-07-21T00:23:53.199+00:00,2.264621,1784593433149.465,71,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.04067826886214461,-44.302301996231975,9.324595380770287,76.85151182756363,0.020094101152007857,0.02916032828226433,0.2956139899704607,0.0,0.0,-1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-21T00:23:53.792+00:00,4.600000,117464.500000,1.218555,4095,0,02,00,FFFFFFFF,32,2.93012689,3.04604687,2.20738810,1.35473337,1.10201534,0.50916439,2.20804657,1.19465885,1.05171078,1.49416466,2.20763283,0.89101722,1.00961619,0.96104832,2.20744336,0.63978617,1.98039707,0.97815453,2.20767283,1.00570858,0.76649379,0.81094601,2.20754020,1.17772160,1.81736778,1.36507787,2.20736126,1.14262548,1.06404857,0.80756765,2.20782706,0.71072098,SD 02 00 FFFFFFFF 91EEC4 945C34 7FECA0 614A28 552DF6 2FEFA3 7FF183 59D3E4 528B86 674389 7FEE71 498E80 5046F6 4D95F8 7FED09 39790B 78FC8E 4E8B09 7FEEBD 50104C 41EC8C 44B88E 7FEDC1 58FF35 73856A 61BFB8 7FEC6D 573FA9 5332DB 4482E1 7FEFE2 3E4B5E 7CC7B2 000FFF 00 11EC75,-17.4971,2026-07-21T00:23:53.774+00:00,2.841041,1784593433715.483,88,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.0404009657963715,-44.286627278088545,9.321615553086353,76.82962333823481,0.019533669914177976,0.029330071515131607,0.2958700579899435,0.0,0.0,-1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-21T00:23:54.349+00:00,5.800000,117465.700000,1.219166,4095,0,02,00,FFFFFFFF,32,2.93026157,3.04592170,2.20739967,1.35474023,1.10200794,0.50914704,2.20524822,1.19467073,1.05175038,1.49416947,2.20483868,0.89102137,1.00962430,0.96104072,2.20481344,0.63978245,1.98038570,0.97813260,2.20663774,1.00580034,0.76650693,0.81094823,2.20757546,1.17772376,1.81735116,1.36507752,2.20753599,1.14260486,1.06405378,0.80758730,2.20737757,0.71070280,SD 02 00 FFFFFFFF 91EF81 945B8C 7FECB6 614A3C 552DDD 2FEF4C 7FDCBC 59D40A 528C10 674396 7FD9B1 498E90 504713 4D95DC 7FD981 3978FA 78FC76 4E8AB9 7FE70E 501195 41ECC3 44B897 7FEE04 58FF3C 738544 61BFB7 7FEDB9 573F65 5332ED 448331 7FEC8C 3E4B0F 7CD7B2 000FFF 00 11EC81,1.6459,2026-07-21T00:23:54.351+00:00,3.416835,1784593434280.392,105,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.03352917510031483,-44.24343843656227,9.316603432337484,76.75836862914318,0.019609861025319617,0.030456314548706204,0.2953972697216488,0.0,-2.842170943040401e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-21T00:23:54.905+00:00,6.300000,117466.200000,1.219166,4095,0,02,00,FFFFFFFF,32,2.93030076,3.04620782,2.20750125,1.35475634,1.10199758,0.50913428,2.20790023,1.19462321,1.05163532,1.49416688,2.20754809,0.89102760,1.00965281,0.96105862,2.20765230,0.63979405,1.98037529,0.97814932,2.20527030,1.00576409,0.76650048,0.81094749,2.20704288,1.17765783,1.81735072,1.36514405,2.20759441,1.14260214,1.06410119,0.80757919,2.20795708,0.71071108,SD 02 00 FFFFFFFF 91EFB8 945D0C 7FED77 614A6B 552DBA 2FEF0C 7FF06D 59D372 528A7F 67438F 7FEDD0 498EA8 504779 4D961E 7FEE96 39792F 78FC60 4E8AF6 7FDCE6 501113 41ECA8 44B894 7FEA10 58FE67 738543 61C078 7FEE28 573F5C 533391 448310 7FF0D9 3E4B33 7CD7B2 000FFF 00 11EC86,21.9087,2026-07-21T00:23:54.929+00:00,3.994117,1784593434845.294,122,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.0411170067044136,-44.19467554842571,9.304678208802105,76.66991523928752,0.023547779473009716,0.032555885762307966,0.296613632577919,0.0,2.842170943040401e-15,1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-21T00:23:55.464+00:00,7.500000,117467.400000,1.215504,4095,0,02,00,FFFFFFFF,32,2.93038058,3.04623092,2.20703762,1.35471658,1.10196475,0.50914465,2.20749756,1.19465291,1.05169787,1.49415541,2.20758651,0.89100114,1.00963800,0.96100438,2.20746493,0.63979471,1.98049700,0.97814877,2.20742915,1.00572002,0.76648590,0.81095069,2.20804131,1.17769374,1.81739972,1.36507614,2.20536757,1.14263639,1.06403759,0.80756397,2.20711918,0.71072397,SD 02 00 FFFFFFFF 91F028 945D2B 7FEA06 6149F7 552D4B 2FEF40 7FED70 59D3D1 528B59 674370 7FEE19 498E42 504744 4D9556 7FED32 397932 78FD61 4E8AF4 7FECEE 501075 41EC6B 44B8A1 7FF179 58FEDB 7385B3 61BFB3 7FDD9F 573FCD 5332B5 4482D2 7FEAA1 3E4B6B 7C77B2 000FFF 00 11EC92,30.3747,2026-07-21T00:23:55.494+00:00,4.560102,1784593435411.914,139,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.07091318569622798,-44.234685635710676,9.312674598735363,76.73695338834969,0.020097638016187802,0.03194981560796288,0.2967856576949758,0.0,-2.842170943040401e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-21T00:23:56.021+00:00,8.000000,117467.900000,1.216114,4095,0,02,00,FFFFFFFF,32,2.93030575,3.04625551,2.20738704,1.35471521,1.10196652,0.50915402,2.20790654,1.19468074,1.05169041,1.49414320,2.20750546,0.89100659,1.00965114,0.96101252,2.20766283,0.63981004,1.98046432,0.97812136,2.20767336,1.00573926,0.76649666,0.81096250,2.20724337,1.17767517,1.81735903,1.36508269,2.20477875,1.14266125,1.06409136,0.80755857,2.20492279,0.71071752,SD 02 00 FFFFFFFF 91EFBF 945D4C 7FEC9E 6149F3 552D51 2FEF6F 7FF079 59D42A 528B3F 67434F 7FED7F 498E57 504773 4D9574 7FEEAA 397978 78FD1C 4E8A90 7FEEBE 5010BA 41EC98 44B8D1 7FEB8D 58FE9F 738556 61BFC6 7FD93F 57401F 53336F 4482BC 7FDA51 3E4B4F 7C87B2 000FFF 00 11EC97,43.2547,2026-07-21T00:23:56.063+00:00,5.129332,1784593436011.843,157,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.06207026338061713,-44.24842385049285,9.315076198503512,76.75857015044305,0.02260793710522246,0.03187821014266939,0.29619817696766715,0.0,-2.842170943040401e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
