event_index,event,waypoint_index,x_cm,y_cm,next_x_cm,next_y_cm,host_timestamp_utc,recorder_elapsed_s
1,guide_attached,1,23.75,11.57,5.68,20.83,2026-07-30T19:28:01.270+00:00,8.1
2,waypoint_shown,1,23.75,11.57,5.68,20.83,2026-07-30T19:28:01.271+00:00,8.1
3,waypoint_advanced,1,23.75,11.57,5.68,20.83,2026-07-30T19:29:11.928+00:00,121.4
4,waypoint_shown,2,5.68,20.83,7.65,18.37,2026-07-30T19:29:11.928+00:00,121.4
5,waypoint_advanced,2,5.68,20.83,7.65,18.37,2026-07-30T19:29:16.758+00:00,128.3
6,waypoint_shown,3,7.65,18.37,19.42,6.58,2026-07-30T19:29:16.759+00:00,128.3
7,waypoint_advanced,3,7.65,18.37,19.42,6.58,2026-07-30T19:31:01.427+00:00,296.0
8,waypoint_shown,4,19.42,6.58,13.44,5.63,2026-07-30T19:31:01.442+00:00,296.0
9,waypoint_advanced,4,19.42,6.58,13.44,5.63,2026-07-30T19:31:02.131+00:00,297.7
10,waypoint_shown,5,13.44,5.63,6.87,7.02,2026-07-30T19:31:02.132+00:00,297.7
11,waypoint_advanced,5,13.44,5.63,6.87,7.02,2026-07-30T19:31:02.647+00:00,297.7
12,waypoint_shown,6,6.87,7.02,6.62,24.86,2026-07-30T19:31:02.647+00:00,297.7
13,duration_reached,6,6.87,7.02,6.62,24.86,2026-07-30T19:34:11.652+00:00,600.5
14,guide_closed,6,6.87,7.02,6.62,24.86,2026-07-30T19:37:20.357+00:00,628.5
