holdout_session,model,test_rows_after_1_5s_thinning,classes_present,three_class_test,present_class_macro_recall,macro_f1,background_recall,mint_recall,lavender_recall
20260730_152754,current-only,192,"background,mint",False,0.685268979,0.738747346,0.934640523,0.435897436,0
20260730_152754,causal-temporal,192,"background,mint",False,0.704374057,0.768746695,0.921568627,0.487179487,0
20260730_153631,current-only,206,"background,mint,lavender",True,0.478363011,0.466942946,0.679104478,0.27027027,0.485714286
20260730_153631,causal-temporal,206,"background,mint,lavender",True,0.515857008,0.513321092,0.686567164,0.432432432,0.428571429
20260730_154848,current-only,199,"background,mint,lavender",True,0.46861267,0.449469991,0.64028777,0.318181818,0.447368421
20260730_154848,causal-temporal,199,"background,mint,lavender",True,0.547565775,0.506704371,0.647482014,0.363636364,0.631578947
20260730_161358,current-only,239,"background,lavender",False,0.210055596,0.324056895,0.324873096,0,0.0952380952
20260730_161358,causal-temporal,239,"background,lavender",False,0.462774958,0.367893133,0.258883249,0,0.666666667
20260730_163355,current-only,317,"background,mint,lavender",True,0.466349978,0.479079092,0.83902439,0.189655172,0.37037037
20260730_163355,causal-temporal,317,"background,mint,lavender",True,0.501967625,0.499139917,0.780487805,0.206896552,0.518518519
20260803_144217,current-only,238,"background,mint,lavender",True,0.451035868,0.377527701,0.503225806,0.722222222,0.127659574
20260803_144217,causal-temporal,238,"background,mint,lavender",True,0.464925392,0.412662987,0.464516129,0.611111111,0.319148936
20260803_150952,current-only,324,"background,mint,lavender",True,0.396355701,0.313216178,0.32,0.638297872,0.230769231
20260803_150952,causal-temporal,324,"background,mint,lavender",True,0.473900103,0.393785781,0.431111111,0.70212766,0.288461538
20260803_154420,current-only,343,"background,mint,lavender",True,0.455691545,0.366592806,0.425531915,0.186440678,0.755102041
20260803_154420,causal-temporal,343,"background,mint,lavender",True,0.530411083,0.448248048,0.510638298,0.305084746,0.775510204
20260803_160842,current-only,323,"background,mint,lavender",True,0.428776599,0.332984027,0.289719626,0.2,0.796610169
20260803_160842,causal-temporal,323,"background,mint,lavender",True,0.464244152,0.416236065,0.574766355,0.14,0.677966102
20260803_164023,current-only,371,"background,mint,lavender",True,0.507984608,0.434408502,0.563636364,0.238095238,0.722222222
20260803_164023,causal-temporal,371,"background,mint,lavender",True,0.575876223,0.514232803,0.650909091,0.428571429,0.648148148
20260803_170357,current-only,333,"background,mint,lavender",True,0.53655792,0.424827623,0.404,0.333333333,0.872340426
20260803_170357,causal-temporal,333,"background,mint,lavender",True,0.663317573,0.518919396,0.5,0.638888889,0.85106383
