pcnose_host_time_utc,pcnose_elapsed_s,pcnose_device_time_s,pcnose_therm1_volts,pcnose_battery_raw,pcnose_flag,pcnose_sd_field1_hex,pcnose_sd_field2_hex,pcnose_sensor_mask_hex,pcnose_active_sensor_count,pcnose_S1_kohm,pcnose_S2_kohm,pcnose_S3_kohm,pcnose_S4_kohm,pcnose_S5_kohm,pcnose_S6_kohm,pcnose_S7_kohm,pcnose_S8_kohm,pcnose_S9_kohm,pcnose_S10_kohm,pcnose_S11_kohm,pcnose_S12_kohm,pcnose_S13_kohm,pcnose_S14_kohm,pcnose_S15_kohm,pcnose_S16_kohm,pcnose_S17_kohm,pcnose_S18_kohm,pcnose_S19_kohm,pcnose_S20_kohm,pcnose_S21_kohm,pcnose_S22_kohm,pcnose_S23_kohm,pcnose_S24_kohm,pcnose_S25_kohm,pcnose_S26_kohm,pcnose_S27_kohm,pcnose_S28_kohm,pcnose_S29_kohm,pcnose_S30_kohm,pcnose_S31_kohm,pcnose_S32_kohm,pcnose_raw_frame,pcnose_sample_time_estimate_utc,pcnose_timestamp_basis,pcnose_serial_roundtrip_ms,pose_alignment_valid,pose_alignment_status,pose_minus_pcnose_ms,abs_pose_minus_pcnose_ms,pose_host_timestamp_utc,pose_elapsed_s,camera_timestamp_ms,frame_number,tag_0_visible,tag_0_rms_px,tag_0_cam_x_cm,tag_0_cam_y_cm,tag_0_cam_z_cm,tag_0_cam_rvec_x_rad,tag_0_cam_rvec_y_rad,tag_0_cam_rvec_z_rad,tag_0_desk_x_cm,tag_0_desk_y_cm,tag_0_desk_z_cm,tag_0_desk_rvec_x_rad,tag_0_desk_rvec_y_rad,tag_0_desk_rvec_z_rad,tag_1_visible,tag_1_rms_px,tag_1_cam_x_cm,tag_1_cam_y_cm,tag_1_cam_z_cm,tag_1_cam_rvec_x_rad,tag_1_cam_rvec_y_rad,tag_1_cam_rvec_z_rad,tag_1_desk_x_cm,tag_1_desk_y_cm,tag_1_desk_z_cm,tag_1_desk_rvec_x_rad,tag_1_desk_rvec_y_rad,tag_1_desk_rvec_z_rad,tag_2_visible,tag_2_rms_px,tag_2_cam_x_cm,tag_2_cam_y_cm,tag_2_cam_z_cm,tag_2_cam_rvec_x_rad,tag_2_cam_rvec_y_rad,tag_2_cam_rvec_z_rad,tag_2_desk_x_cm,tag_2_desk_y_cm,tag_2_desk_z_cm,tag_2_desk_rvec_x_rad,tag_2_desk_rvec_y_rad,tag_2_desk_rvec_z_rad,tag_3_visible,tag_3_rms_px,tag_3_cam_x_cm,tag_3_cam_y_cm,tag_3_cam_z_cm,tag_3_cam_rvec_x_rad,tag_3_cam_rvec_y_rad,tag_3_cam_rvec_z_rad,tag_3_desk_x_cm,tag_3_desk_y_cm,tag_3_desk_z_cm,tag_3_desk_rvec_x_rad,tag_3_desk_rvec_y_rad,tag_3_desk_rvec_z_rad,tag_4_visible,tag_4_rms_px,tag_4_cam_x_cm,tag_4_cam_y_cm,tag_4_cam_z_cm,tag_4_cam_rvec_x_rad,tag_4_cam_rvec_y_rad,tag_4_cam_rvec_z_rad,tag_4_desk_x_cm,tag_4_desk_y_cm,tag_4_desk_z_cm,tag_4_desk_rvec_x_rad,tag_4_desk_rvec_y_rad,tag_4_desk_rvec_z_rad,tag_5_visible,tag_5_rms_px,tag_5_cam_x_cm,tag_5_cam_y_cm,tag_5_cam_z_cm,tag_5_cam_rvec_x_rad,tag_5_cam_rvec_y_rad,tag_5_cam_rvec_z_rad,tag_5_desk_x_cm,tag_5_desk_y_cm,tag_5_desk_z_cm,tag_5_desk_rvec_x_rad,tag_5_desk_rvec_y_rad,tag_5_desk_rvec_z_rad,tag_6_visible,tag_6_rms_px,tag_6_cam_x_cm,tag_6_cam_y_cm,tag_6_cam_z_cm,tag_6_cam_rvec_x_rad,tag_6_cam_rvec_y_rad,tag_6_cam_rvec_z_rad,tag_6_desk_x_cm,tag_6_desk_y_cm,tag_6_desk_z_cm,tag_6_desk_rvec_x_rad,tag_6_desk_rvec_y_rad,tag_6_desk_rvec_z_rad,cube_pose_valid,cube_used_tag_ids,cube_rms_px,cube_cam_x_cm,cube_cam_y_cm,cube_cam_z_cm,cube_cam_rvec_x_rad,cube_cam_rvec_y_rad,cube_cam_rvec_z_rad,cube_desk_x_cm,cube_desk_y_cm,cube_desk_z_cm,cube_desk_rvec_x_rad,cube_desk_rvec_y_rad,cube_desk_rvec_z_rad,snout_position_valid,snout_cam_x_cm,snout_cam_y_cm,snout_cam_z_cm,snout_desk_x_cm,snout_desk_y_cm,snout_desk_z_cm
2026-07-23T20:35:29.223+00:00,0.000000,95532.800000,1.219771,4095,0,02,00,FFFFFFFF,32,2.93385711,3.04752107,2.20488073,1.35063434,1.10073095,0.48194951,2.20494119,1.19138810,1.04433927,1.49518963,2.20721917,0.88904167,1.00884475,0.95914156,2.20535442,0.63933941,1.98387892,0.97726192,2.20723706,1.00411270,0.76633920,0.81041003,2.20533707,1.17419508,1.81856851,1.35991050,2.20666458,1.14123369,1.06153961,0.80779926,2.20736441,0.70984420,SD 02 00 FFFFFFFF 920333 9463EE 7FDA01 611B62 551CFF 2DD526 7FDA74 59AAFC 5226F1 674E5A 7FEB5F 4970BA 503C2E 4D7A7D 7FDD86 397113 791940 4E7E50 7FEB81 4FF9EF 41EA05 44B00C 7FDD65 58D2A8 739022 618514 7FE741 572DB8 5310EE 448690 7FEC73 3E3C7A 7CE78F 000FFF 00 0E93C0,2026-07-23T20:35:29.192+00:00,serial_request_midpoint,63.1879,True,matched,-52.10445,52.10445,2026-07-23T20:35:29.141+00:00,0.006205,1784838929059.716,2,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.20937249714660103,6.070986153603807,9.747292076774649,77.09931698827452,-0.3224814277448468,0.06952909466799614,3.117077588956818,0.0,0.0,-1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-23T20:35:29.641+00:00,0.600000,95533.400000,1.218550,4095,0,02,00,FFFFFFFF,32,2.93376649,3.04747410,2.20736494,1.35063092,1.10072593,0.48195029,2.20764599,1.19146237,1.04435298,1.49515779,2.20761967,0.88903028,1.00883525,0.95913181,2.20793444,0.63934576,1.98389362,0.97725151,2.20774021,1.00411047,0.76634517,0.81040584,2.20508103,1.17417037,1.81854706,1.35983523,2.20479347,1.14123732,1.06158435,0.80778378,2.20496642,0.70983063,SD 02 00 FFFFFFFF 9202B4 9463AF 7FEC74 611B58 551CEE 2DD52A 7FEE8A 59ABEA 522721 674E04 7FEE58 49708E 503C0C 4D7A59 7FF0AE 397130 79195F 4E7E2A 7FEF3D 4FF9E7 41EA1E 44AFFB 7FDB7E 58D258 738FF1 618439 7FD95B 572DC4 531189 448651 7FDAA4 3E3C3F 7CC78F 000FFF 00 0E93C6,2026-07-23T20:35:29.533+00:00,serial_request_midpoint,216.4464,True,matched,-6.5344,6.5344,2026-07-23T20:35:29.526+00:00,0.392819,1784838929463.402,14,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.19986587812420806,6.064156432182186,9.74277928585592,77.07092248498833,-0.32490122910823693,0.06405144169078049,3.1163851854108846,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-23T20:35:30.201+00:00,1.800000,95534.600000,1.218550,4095,0,02,00,FFFFFFFF,32,2.93400341,3.04757847,2.20692081,1.35059228,1.10072889,0.48195889,2.20785759,1.19145769,1.04429329,1.49515890,2.20774179,0.88903494,1.00883301,0.95915537,2.20544539,0.63933459,1.98393822,0.97723260,2.20711024,1.00411688,0.76630073,0.81041716,2.20494276,1.17418427,1.81862935,1.35985654,2.20424895,1.14130002,1.06155895,0.80779115,2.20684609,0.70982442,SD 02 00 FFFFFFFF 920400 94643B 7FE928 611AE7 551CF8 2DD556 7FF01C 59ABDB 522650 674E07 7FEF40 4970A0 503C04 4D7AB0 7FDE33 3970FD 7919BD 4E7DE5 7FEA90 4FF9FE 41E964 44B029 7FDA77 58D285 7390AD 618477 7FD54F 572E93 531131 44866F 7FE89A 3E3C24 7CC78D 000FFF 00 0E93D2,2026-07-23T20:35:30.021+00:00,serial_request_midpoint,358.9652,True,matched,28.279,28.279,2026-07-23T20:35:30.049+00:00,0.915623,1784838929998.958,30,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.19104437244294042,6.072686365795149,9.757110820541694,77.17438036193178,-0.32152625562047343,0.069585387722539,3.117351990495296,-2.842170943040401e-15,1.4210854715202005e-15,-1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-23T20:35:30.756+00:00,2.400000,95535.200000,1.219160,4095,0,02,00,FFFFFFFF,32,2.93402553,3.04761276,2.20521562,1.35060151,1.10076584,0.48196984,2.20473617,1.19140495,1.04429928,1.49515742,2.20427049,0.88901551,1.00884140,0.95910959,2.20715812,0.63933985,1.98390596,0.97722986,2.20746914,1.00415756,0.76632343,0.81041667,2.20802499,1.17416666,1.81864993,1.35980704,2.20774231,1.14127337,1.06156645,0.80781596,2.20813818,0.70983868,SD 02 00 FFFFFFFF 92041F 946469 7FDC7E 611B02 551D75 2DD58E 7FD8EE 59AB32 522665 674E03 7FD578 497055 503C22 4D7A07 7FEAEB 397115 791979 4E7DDB 7FED3A 4FFA90 41E9C3 44B027 7FF15A 58D24C 7390DC 6183E7 7FEF41 572E3B 53114B 4486D4 7FF231 3E3C62 7CD78D 000FFF 00 0E93D8,2026-07-23T20:35:30.579+00:00,serial_request_midpoint,355.495,True,matched,73.1257,73.1257,2026-07-23T20:35:30.652+00:00,1.518623,1784838930598.136,48,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.20108011168034656,6.0703673903574344,9.756931913314872,77.15630714622657,-0.33136423036299123,0.06751187703959642,3.1179666155137826,-2.842170943040401e-15,-1.4210854715202005e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-23T20:35:31.314+00:00,3.500000,95536.300000,1.218550,4095,0,02,00,FFFFFFFF,32,2.93385854,3.04751212,2.20716654,1.35063537,1.10073775,0.48195792,2.20758546,1.19142492,1.04434956,1.49514705,2.20722916,0.88904867,1.00884727,0.95911745,2.20785233,0.63934182,1.98381535,0.97723644,2.20777337,1.00415087,0.76633108,0.81041372,2.20743809,1.17417284,1.81860747,1.35982182,2.20742757,1.14126852,1.06157309,0.80778722,2.20785022,0.70983086,SD 02 00 FFFFFFFF 920335 9463E2 7FEAFB 611B65 551D16 2DD551 7FEE17 59AB72 522715 674DE7 7FEB72 4970D5 503C37 4D7A24 7FF012 39711E 7918BA 4E7DF3 7FEF7C 4FFA78 41E9E3 44B01B 7FECFF 58D260 73907B 618412 7FECEB 572E2B 531162 44865F 7FF00E 3E3C40 7CC78F 000FFF 00 0E93E3,2026-07-23T20:35:31.137+00:00,serial_request_midpoint,355.3467,True,matched,75.30855,75.30855,2026-07-23T20:35:31.212+00:00,2.078365,1784838931163.47,65,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.16150422168841033,6.066141033273607,9.75363059665489,77.11196777382425,-0.33265878419990164,0.06402952807945023,3.116749502846568,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-23T20:35:31.874+00:00,4.100000,95536.900000,1.214888,4095,0,02,00,FFFFFFFF,32,2.93384356,3.04750317,2.20765757,1.35061519,1.10078210,0.48195928,2.20782390,1.19147672,1.04435298,1.49515705,2.20735915,0.88902691,1.00885034,0.95913451,2.20736073,0.63934116,1.98385900,0.97723068,2.20751546,1.00414892,0.76632845,0.81040215,2.20778442,1.17419291,1.81856807,1.35980120,2.20782864,1.14128155,1.06156443,0.80778820,2.20765757,0.70983385,SD 02 00 FFFFFFFF 920320 9463D6 7FEEA0 611B2A 551DAC 2DD558 7FEFDC 59AC18 522721 674E02 7FEC69 497081 503C42 4D7A63 7FEC6C 39711B 791916 4E7DDE 7FED92 4FFA71 41E9D8 44AFEC 7FEF91 58D2A1 739021 6183D6 7FEFE5 572E56 531144 448663 7FEEA0 3E3C4D 7C678E 000FFF 00 0E93E9,2026-07-23T20:35:31.695+00:00,serial_request_midpoint,359.0625,True,matched,79.57055,79.57055,2026-07-23T20:35:31.775+00:00,2.640024,1784838931696.468,81,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.17583226903119628,6.0637472543118776,9.749744581064789,77.08907353912227,-0.33480183771339705,0.06771489198044059,3.1170635200805927,0.0,-1.4210854715202005e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-23T20:35:32.430+00:00,5.200000,95538.000000,1.217940,4095,0,02,00,FFFFFFFF,32,2.93373366,3.04743161,2.20755599,1.35069486,1.10069607,0.48195303,2.20750546,1.19147079,1.04434213,1.49519592,2.20749125,0.88903805,1.00881401,0.95910797,2.20781706,0.63932583,1.98396336,0.97721013,2.20786127,1.00416982,0.76633920,0.81038641,2.20800025,1.17420712,1.81854400,1.35978470,2.20735810,1.14129881,1.06153268,0.80780073,2.20773705,0.70982534,SD 02 00 FFFFFFFF 920286 946376 7FEDDF 611C13 551C89 2DD538 7FED7F 59AC05 5226FB 674E6B 7FED64 4970AC 503BC0 4D7A01 7FEFCF 3970D5 7919F2 4E7D93 7FF023 4FFABC 41EA05 44AFAC 7FF12B 58D2CF 738FEA 6183A6 7FEC67 572E8F 5310D6 448696 7FEF37 3E3C28 7CB78E 000FFF 00 0E93F4,2026-07-23T20:35:32.252+00:00,serial_request_midpoint,356.0818,True,matched,57.0412,57.0412,2026-07-23T20:35:32.310+00:00,3.175276,1784838932261.902,98,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.02696589579051631,6.071893627627397,9.703987962481621,76.67889904256576,-0.3169025408712612,-0.012748865734661803,3.1237699815369804,-2.842170943040401e-15,1.4210854715202005e-15,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-23T20:35:32.986+00:00,6.400000,95539.200000,1.218550,4095,0,02,00,FFFFFFFF,32,2.93380002,3.04747783,2.20738810,1.35062990,1.10075579,0.48195928,2.20754125,1.19147235,1.04432213,1.49518148,2.20779442,0.88903079,1.00883944,0.95910824,2.20779126,0.63932167,1.98393252,0.97722493,2.20517461,1.00415087,0.76635999,0.81038222,2.20722758,1.17420218,1.81849497,1.35980773,2.20745072,1.14125822,1.06154827,0.80776954,2.20511888,0.70983339,SD 02 00 FFFFFFFF 9202E3 9463B4 7FECA0 611B55 551D53 2DD558 7FEDC3 59AC0A 5226B5 674E44 7FEFA4 497090 503C1B 4D7A02 7FEF9E 3970C2 7919B1 4E7DC9 7FDC30 4FFA78 41EA5C 44AF9B 7FEB6F 58D2BF 738F7A 6183E9 7FED17 572E09 53110C 448617 7FDBC6 3E3C4B 7CC78F 000FFF 00 0E9400,2026-07-23T20:35:32.809+00:00,serial_request_midpoint,355.7003,True,matched,53.99385,53.99385,2026-07-23T20:35:32.863+00:00,3.72896,1784838932792.815,114,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.07332481267820383,5.816018373030603,9.545151370488076,76.4064478748638,-0.33647126681823875,-0.014707294098842763,3.1198197705824895,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-23T20:35:33.543+00:00,6.900000,95539.700000,1.219771,4095,0,02,00,FFFFFFFF,32,2.93398414,3.04737942,2.20692238,1.35065110,1.10075667,0.48197082,2.20739073,1.19145301,1.04434841,1.49517260,2.20775494,0.88905488,1.00884363,0.95909822,2.20780232,0.63933591,1.98396526,0.97724164,2.20770599,1.00412440,0.76634876,0.81039354,2.20752230,1.17417531,1.81854837,1.35981770,2.20750809,1.14130154,1.06151392,0.80776094,2.20776600,0.70981522,SD 02 00 FFFFFFFF 9203E5 946330 7FE92B 611B93 551D56 2DD593 7FECA5 59ABCC 522711 674E2C 7FEF59 4970ED 503C2A 4D79DD 7FEFB3 397103 7919F6 4E7E06 7FEEFC 4FFA19 41EA2D 44AFC9 7FED9F 58D268 738FF4 618406 7FED84 572E98 531095 4485F4 7FEF6E 3E3BFC 7CE78F 000FFF 00 0E9405,2026-07-23T20:35:33.365+00:00,serial_request_midpoint,356.1048,True,matched,7.0585,7.0585,2026-07-23T20:35:33.371+00:00,4.238109,1784838933292.199,129,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,True,0.11094505966714148,5.850472929098513,9.658617924837523,76.7685607786706,-0.30730651486825755,0.018384824677129395,3.1209232638716315,0.0,0.0,1.1368683772161604e-14,0.0,0.0,0.0,False,,,,,,,,,,,,,,,False,,,,,,
2026-07-23T20:35:34.099+00:00,8.100000,95540.900000,1.216719,4095,0,02,00,FFFFFFFF,32,2.93392705,3.04753598,2.20772231,1.35061827,1.10075815,0.48196319,2.20770862,1.19143616,1.04434327,1.49515038,2.20492436,0.88905152,1.00880367,0.95913153,2.20495696,0.63933897,1.98398233,0.97723918,2.20492068,1.00412803,0.76634923,0.81037706,2.20718706,1.17420249,1.81858033,1.35980051,2.20749546,1.14131941,1.06152229,0.80779262,2.20789602,0.70983155,SD 02 00 FFFFFFFF 920395 946402 7FEF1B 611B33 551D5B 2DD56C 7FEF01 59AB96 5226FF 674DF0 7FDA54 4970E0 503B9B 4D7A58 7FDA92 397111 791A1A 4E7DFD 7FDA4D 4FFA26 41EA2F 44AF86 7FEB22 58D2C0 73903D 6183D4 7FED6C 572ED3 5310B2 448675 7FF065 3E3C43 7C978E 000FFF 00 0E9411,2026-07-23T20:35:33.921+00:00,serial_request_midpoint,356.252,True,matched,66.9177,66.9177,2026-07-23T20:35:33.988+00:00,4.854323,1784838933925.44,148,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,
